
________________||||Todas Marcacoes||||_________________________
Listas de Labels:
Nome Label: bug ; Quantidade: 4
Nome Label: feature ; Quantidade: 1
Nome Label: C API ; Quantidade: 83
Nome Label: crash ; Quantidade: 116
Nome Label: Compatibility ; Quantidade: 34
Nome Label: parser ; Quantidade: 22
Nome Label: Ruby 2.1 ; Quantidade: 2
Nome Label: Performance ; Quantidade: 48
Nome Label: rubygems ; Quantidade: 13
Nome Label: security ; Quantidade: 4
Nome Label: Ruby 1.9 ; Quantidade: 28
Nome Label: Ruby 2.2 ; Quantidade: 5
Nome Label: Ruby 2.0 ; Quantidade: 11
Nome Label: BSD ; Quantidade: 6
Nome Label: build ; Quantidade: 51
Nome Label: Windows ; Quantidade: 6
Nome Label: third-party ; Quantidade: 4
Nome Label: JIT ; Quantidade: 22
Nome Label: Needs repro ; Quantidade: 1
Nome Label: Needs feedback ; Quantidade: 29
Nome Label: compiler ; Quantidade: 48
Nome Label: Feature ; Quantidade: 24
Nome Label: spec ; Quantidade: 21
Nome Label: Install ; Quantidade: 17
Nome Label: debugger ; Quantidade: 8
Nome Label: Encoding ; Quantidade: 31
Nome Label: Community ; Quantidade: 4
Nome Label: OS X ; Quantidade: 1
Nome Label: ARM ; Quantidade: 3
Nome Label: stdlib ; Quantidade: 31
Nome Label: Solaris ; Quantidade: 1
Nome Label: kernel ; Quantidade: 72
Nome Label: jump in ; Quantidade: 8
Nome Label: rails ; Quantidade: 7
Nome Label: blocker ; Quantidade: 5
Nome Label: platform ; Quantidade: 3
Nome Label: Documentation ; Quantidade: 1
Nome Label: Feature ; Quantidade: 20
Nome Label: Bug ; Quantidade: 21
Nome Label: ENV ; Quantidade: 1
Nome Label: Documentation ; Quantidade: 1
Nome Label: Research ; Quantidade: 5
Nome Label: Extension ; Quantidade: 1
Nome Label: bug ; Quantidade: 52
Nome Label: feature ; Quantidade: 25
Nome Label: ruby-version-difference ; Quantidade: 2
Nome Label: Bug ; Quantidade: 1
Nome Label: rails3 ; Quantidade: 4
Nome Label: ruby19 ; Quantidade: 3
Nome Label: drnic-not-using ; Quantidade: 3
Nome Label: deprecate ; Quantidade: 1
Nome Label: feature ; Quantidade: 2
Nome Label: feedback ; Quantidade: 11
Nome Label: compat ; Quantidade: 5
Nome Label: bug ; Quantidade: 2
Nome Label: 2.0.x ; Quantidade: 6
Nome Label: feature ; Quantidade: 5
Nome Label: 1.1.x ; Quantidade: 2
Nome Label: 2.0 ; Quantidade: 6
Nome Label: Feature ; Quantidade: 4
Nome Label: Bug ; Quantidade: 4
Nome Label: Help Wanted ; Quantidade: 7
Nome Label: Wontfix ; Quantidade: 1
Nome Label: enhancement ; Quantidade: 30
Nome Label: bug ; Quantidade: 16
Nome Label: investigate ; Quantidade: 11
Nome Label: cleanup ; Quantidade: 6
Nome Label: documentation ; Quantidade: 2
Nome Label: copy ; Quantidade: 1
Nome Label: pending feedback ; Quantidade: 7
Nome Label: current work ; Quantidade: 7
Nome Label: needs review ; Quantidade: 1
Nome Label: closed but still in conversation ; Quantidade: 2
Nome Label: highest priority ; Quantidade: 1
Nome Label: pending gem release ; Quantidade: 1
Nome Label: postponed ; Quantidade: 1
Nome Label: feature request ; Quantidade: 87
Nome Label: proposed ; Quantidade: 11
Nome Label: bug ; Quantidade: 117
Nome Label: ready ; Quantidade: 30
Nome Label: in progress ; Quantidade: 15
Nome Label: NOT READY ; Quantidade: 1
Nome Label: task ; Quantidade: 20
Nome Label: i18n ; Quantidade: 15
Nome Label: wip ; Quantidade: 2
Nome Label: deployment ; Quantidade: 2
Nome Label: unconfirmed ; Quantidade: 24
Nome Label: todo ; Quantidade: 20
Nome Label: invalid ; Quantidade: 52
Nome Label: bug ; Quantidade: 22
Nome Label: Feature ; Quantidade: 99
Nome Label: Question ; Quantidade: 12
Nome Label: WontFix ; Quantidade: 18
Nome Label: Duplicate ; Quantidade: 13
Nome Label: Invalid ; Quantidade: 35
Nome Label: Bug ; Quantidade: 168
Nome Label: ThirdParty ; Quantidade: 18
Nome Label: Easy ; Quantidade: 8
Nome Label: Ruby 2.0 ; Quantidade: 4
Nome Label: Rubydoc.info ; Quantidade: 1
Nome Label: Needs Feedback ; Quantidade: 31
Nome Label: Documentation ; Quantidade: 16
Nome Label: API ; Quantidade: 6
Nome Label: Test ; Quantidade: 6
Nome Label: Cosmetic ; Quantidade: 12
Nome Label: Important ; Quantidade: 10
Nome Label: Confirmed ; Quantidade: 26
Nome Label: Feature Request ; Quantidade: 18
Nome Label: Needs Work ; Quantidade: 4
Nome Label: Fixed ; Quantidade: 17
Nome Label: Added ; Quantidade: 6
Nome Label: Fix needs confirmation ; Quantidade: 5
Nome Label: Won't Fix ; Quantidade: 1
Nome Label: non-issue ; Quantidade: 7
Nome Label: feature ; Quantidade: 28
Nome Label: bug ; Quantidade: 38
Nome Label: windows ; Quantidade: 1
Nome Label: ruby19 ; Quantidade: 3
Nome Label: feature ; Quantidade: 5
Nome Label: docco ; Quantidade: 2
Nome Label: bug ; Quantidade: 7
Nome Label: major version change ; Quantidade: 1
Nome Label: need more info ; Quantidade: 2
Nome Label: view patch ; Quantidade: 6
Nome Label: callbacks ; Quantidade: 13
Nome Label: maybe bug ; Quantidade: 7
Nome Label: persistence ; Quantidade: 11
Nome Label: feature request ; Quantidade: 33
Nome Label: bug ; Quantidade: 27
Nome Label: error handling ; Quantidade: 1
Nome Label: dsl change ; Quantidade: 5
Nome Label: aasm4 ; Quantidade: 5
Nome Label: refactoring ; Quantidade: 2
Nome Label: Bug ; Quantidade: 3
Nome Label: 1.2.2 ; Quantidade: 2
Nome Label: Feature ; Quantidade: 3
Nome Label: wrongtracker ; Quantidade: 16
Nome Label: moved ; Quantidade: 2
Nome Label: duplicate ; Quantidade: 1
Nome Label: cannot reproduce ; Quantidade: 1
Nome Label: wontfix ; Quantidade: 3
Nome Label: feature request ; Quantidade: 6
Nome Label: needs feedback ; Quantidade: 1
Nome Label: 1.3.0 ; Quantidade: 9
Nome Label: rspec ; Quantidade: 17
Nome Label: Help Wanted ; Quantidade: 5
Nome Label: test-unit ; Quantidade: 10
Nome Label: minitest ; Quantidade: 5
Nome Label: spinach ; Quantidade: 1
Nome Label: TODO for v 0.0.4 ; Quantidade: 3
Nome Label: upgrade ; Quantidade: 1
Nome Label: bug-dev ; Quantidade: 1
Nome Label: new generator ; Quantidade: 1
Nome Label: bug ; Quantidade: 2
Nome Label: documentation ; Quantidade: 1
Nome Label: won-t-fix ; Quantidade: 1
Nome Label: assigned ; Quantidade: 2
Nome Label: feature ; Quantidade: 4
Nome Label: bug ; Quantidade: 11
Nome Label: windows compatibility ; Quantidade: 1
Nome Label: wontfix ; Quantidade: 1
Nome Label: feature ; Quantidade: 1
Nome Label: bug ; Quantidade: 1
Nome Label: bug ; Quantidade: 18
Nome Label: windows-specific ; Quantidade: 2
Nome Label: feature-request ; Quantidade: 15
Nome Label: unverified ; Quantidade: 224
Nome Label: question ; Quantidade: 36
Nome Label: works_for_me ; Quantidade: 30
Nome Label: verified ; Quantidade: 31
Nome Label: not_a_bug ; Quantidade: 16
Nome Label: feature_request ; Quantidade: 20
Nome Label: address_feedback ; Quantidade: 127
Nome Label: steps ; Quantidade: 17
Nome Label: reopened ; Quantidade: 2
Nome Label: need_specs ; Quantidade: 27
Nome Label: expected_behavior ; Quantidade: 4
Nome Label: stalled ; Quantidade: 10
Nome Label: discussion ; Quantidade: 10
Nome Label: version ; Quantidade: 2
Nome Label: blocker ; Quantidade: 2
