Linguagem;Issues
Ruby;39839
JavaScript;4374
C;4242
C++;2706
Python;2525
Java;1785
R;1471
VimL;1210
Erlang;1078
PHP;743
null;702
Perl;641
Objective-C;464
Lua;451
Emacs Lisp;420
C#;415
Assembly;231
Scala;208
Shell;181
Clojure;144
TeX;124
HTML;119
FORTRAN;101
ActionScript;83
Puppet;75
Haskell;42
Makefile;40
Perl6;32
XSLT;20
Common Lisp;18
Groovy;9
CSS;5
Forth;5
PostScript;4
OCaml;4
Go;4
Nu;3
Ragel in Ruby Host;3
LilyPond;2
Factor;2
Arc;1
Io;1
Scheme;1
Visual Basic;1
Bro;1
D;1
Parrot;0
Pascal;0
Prolog;0
Vala;0
ASP;0
Scilab;0
Awk;0
