LABEL;QUANTIDADE;%
BUG;2386;26%
FEATURE;1451;16%
ENHANCEMENT;444;5%
INVALID;247;3%
DOC;190;2%
WONT FIX;172;2%
QUESTION;165;2%
JRUBY;160;2%
FIX;155;2%
CODE;145;2%
2.0.0;125;1%
V3.0.X;117;1%
2.0.X;114;1%
WISH;99;1%
RUBY;97;1%
PATCH;93;1%
1.3.0;88;1%
USABILITY;86;1%
NEED FEEDBACK;85;1%
3.0;79;1%
API;77;1%
RAILS;67;1%
NEED MORE INFO;63;1%
PARSER;60;1%
REFACTOR;56;1%
PERFORMANCE;55;1%
DUPLICATE;55;1%
V3.1.X;50;1%
3.0.0;47;1%
TODO;42;0%
1.2.2;42;0%
TASK;41;0%
INVESTIGATE;39;0%
IMPROVEMENT;38;0%
COMPATIBILITY;35;0%
FEEDBACK;35;0%
0.7.0;34;0%
REQUEST;34;0%
2.0;33;0%
ERROR;31;0%
DISCUSS;29;0%
HELP WANTED;28;0%
WINDOWS;27;0%
1.0.0;26;0%
0.5.1;25;0%
1.0;24;0%
THIRD PARTY;23;0%
BUILD;22;0%
HOLD;22;0%
SOMEDAY;22;0%
REGRESSION;21;0%
WIN32;21;0%
0.4;21;0%
SPEC;19;0%
TEST;19;0%
I18N;18;0%
INTERNAL;18;0%
IN PROGRESS;17;0%
SUPPORT;16;0%
UI;16;0%
1.5.1;16;0%
FUTURE;15;0%
0.1.0;15;0%
1.1.0;15;0%
CRITICAL;14;0%
EASY;13;0%
IMPORTANT;13;0%
0.5;13;0%
1.1;13;0%
ENCODING;12;0%
3.1.0;12;0%
OSX;12;0%
RESEARCH;11;0%
4.0.0;11;0%
IDEA;11;0%
2.1.0;10;0%
CHANGE;9;0%
2.2;9;0%
WAITING;9;0%
4.0;8;0%
2.4.0;8;0%
1.4.0;8;0%
1.5.2;8;0%
COMMUNIT;7;0%
5.0;7;0%
3.1;7;0%
HIGH;7;0%
ANNOYANCE;7;0%
BACKEND;7;0%
DEFECT;7;0%
SECURITY;6;0%
WIP;6;0%
AASM4;6;0%
CSS;6;0%
1.5.0;6;0%
IPV6;6;0%
1.2.6;5;0%
NICE TO HAVE;5;0%
1 - READY;5;0%
1.4.1;5;0%
3.0 RELEASE;5;0%
SUGGESTION;5;0%
WILL FIX;5;0%
0.7.5;4;0%
CONFIRMED;4;0%
0.5.2;4;0%
CANNOT REPRODUDE;4;0%
DEV;4;0%
1.6.0;4;0%
1.7.0;4;0%
COMMENTS;4;0%
OUTPUT;4;0%
CONTRIBUTION;4;0%
2.0.7;4;0%
MINOR;4;0%
INFRASTRUCTURE;4;0%
ADMIN;4;0%
COMPILER;3;0%
0.7.4;3;0%
0.7.2;3;0%
0.8;3;0%
WEBSITE;3;0%
DEPENDENCY;3;0%
3.3.0;3;0%
MYSQL;3;0%
5.1.0;3;0%
EXTINCT;3;0%
2.1;3;0%
ON HOLD;3;0%
0.9.1;3;0%
UPSTREAM;3;0%
BSD;2;0%
SOLARIS;2;0%
BLOCKER;2;0%
1.2.7;2;0%
EXTENSION;2;0%
READY;2;0%
WATING;2;0%
2 - WORKING;2;0%
POSTGRESQL;2;0%
2.2.2;2;0%
NEEDS TESTS;2;0%
1.3.2;2;0%
HELP;2;0%
0.9;2;0%
DESIGN;2;0%
1.4;2;0%
KERNEL;1;0%
CRASH;1;0%
INSTALL;1;0%
JIT;1;0%
RUBY 2.3;1;0%
NEEDS REPRO;1;0%
DEBUGGER;1;0%
OS X;1;0%
ARM;1;0%
STDLIB;1;0%
JUMP IN;1;0%
1.9 API;1;0%
PLATFORM;1;0%
STABLE;1;0%
1.2.9;1;0%
ENV;1;0%
1.2.8;1;0%
DRNIC-NOT-USING;1;0%
DEPRECATE;1;0%
V1.0;1;0%
EYCAP 0.6;1;0%
FORGERY 2.0;1;0%
VERSION 3.0.1;1;0%
COMPAT;1;0%
1.1.X;1;0%
6.0;1;0%
V6;1;0%
V5;1;0%
CLEANUP;1;0%
COPY;1;0%
DEPLOYMENT;1;0%
PROPOSED;1;0%
3.2.0 - USABILITY IMPROVEMENTS;1;0%
3.1.0 - RAILS 4.1, BUG FIXES;1;0%
ONEBODY 3.0 (REDESIGN);1;0%
MATTHEW 18:20;1;0%
UNCONFIRMED;1;0%
COSMETIC;1;0%
0.8.4;1;0%
0.8.3;1;0%
0.8.2;1;0%
0.8.1;1;0%
0.8.0;1;0%
0.7.3;1;0%
0.7.2 (CAUSE GITHUB IS BROKE);1;0%
0.6.8;1;0%
0.6.6;1;0%
0.6.5;1;0%
0.7.7;1;0%
0.7.6.2;1;0%
0.7.6.1;1;0%
0.7.6;1;0%
NEEDS WORK;1;0%
ADDED;1;0%
0.7.1.1;1;0%
0.7.1;1;0%
0.6.2.1;1;0%
0.6.2;1;0%
0.6.1;1;0%
0.6.1.1;1;0%
0.6;1;0%
0.7;1;0%
0.5.2.1;1;0%
V1.1;1;0%
V2.6.11;1;0%
NON-ISSUE;1;0%
V2.6.10;1;0%
V2.6.9;1;0%
V2.6.7;1;0%
V2.6.6;1;0%
V2.6.4;1;0%
NEVERLAND;1;0%
V2.6.3;1;0%
V2.6.2;1;0%
V2.7.0;1;0%
V2.6.0;1;0%
MAJOR VERSION CHANGE;1;0%
VIEW PATCH;1;0%
PERSISTENCE;1;0%
CALLBACKS;1;0%
4.4;1;0%
MULTIPLE;1;0%
MAYBE BUG;1;0%
DSL;1;0%
4.3;1;0%
UPGRADE;1;0%
BUG-DEV;1;0%
NEW GENERATOR;1;0%
ASSIGNED;1;0%
PPGUI;1;0%
PPKEYBOARD;1;0%
PPBASE;1;0%
PPEVENTS;1;0%
RAHGRESSION;1;0%
GREENFIELD;1;0%
0.6.0;1;0%
0.5.0;1;0%
0.4.0;1;0%
0.3.7;1;0%
0.3.6;1;0%
LOW PRIORITY;1;0%
FOOBLE;1;0%
SECOND WOW POINT;1;0%
FIRST WOW POINT;1;0%
AREA - MESSAGING;1;0%
V5.0;1;0%
AREA - DOCUMENTATION;1;0%
AREA - SAMPLES;1;0%
AREA - MS ASPNET;1;0%
AREA - OAUTH2;1;0%
V4.3.5;1;0%
0 - BACKLOG;1;0%
AREA - BUILD SYSTEM;1;0%
V4.3.1;1;0%
V4.2.3;1;0%
V4.3.2;1;0%
AREA - OAUTH 1;1;0%
V4.2.2;1;0%
AREA - OPENID;1;0%
V4.2.0;1;0%
V4.1.5;1;0%
V4.1.4;1;0%
V4.3.0;1;0%
V4.1.3;1;0%
V4.1.1;1;0%
V4.0.5;1;0%
DONATION CAMPAIGNS;1;0%
V4.1;1;0%
V4.0.4;1;0%
V4.0.3;1;0%
V4.0.2;1;0%
V4.0.1;1;0%
#NOME?;1;0%
OPENID CONNECT;1;0%
V4.0.0;1;0%
OAUTH 2 FINAL;1;0%
SPLINTERS;1;0%
VIADUCT;1;0%
AREA - REPORTING;1;0%
AREA - DISCOVERY;1;0%
3.2.0;1;0%
REBASE REQUIRED;1;0%
WAITING ON RESPONSE;1;0%
SQL;1;0%
2.4.2;1;0%
2.4.1;1;0%
ENCODINGS;1;0%
ENGINE;1;0%
HEROKU;1;0%
NEEDS-INPUT;1;0%
DB2;1;0%
1.3.18;1;0%
DERBY;1;0%
MSSQL;1;0%
SQLITE3;1;0%
ORACLE;1;0%
DONE;1;0%
RAKE;1;0%
PARTIAL-FIX;1;0%
JQUERY-BOOTSTRAP;1;0%
ANNOUNCEMENT;1;0%
2.3.0;1;0%
2.2.0;1;0%
2.0.0 RC;1;0%
5.0.22;1;0%
5.0.24;1;0%
5.0.23;1;0%
5.0.21;1;0%
PRIORITY/CRITICAL;1;0%
PRIORITY/HIGH;1;0%
UNIONSTATION;1;0%
ENTERPRISECUSTOMER;1;0%
5.0.19;1;0%
5.0.17;1;0%
LANG/METEOR;1;0%
5.0.16;1;0%
BOUNTY/MEDIUM;1;0%
BOUNTY/EASY;1;0%
5.0.15;1;0%
5.0.12;1;0%
SERVER/NGINX;1;0%
PRIORITY/LOW;1;0%
5.0.11;1;0%
5.0.10;1;0%
5.0.9;1;0%
SERVER/APACHE;1;0%
5.0.8;1;0%
LANG/NODE.JS;1;0%
BOUNTY/HARD;1;0%
5.0.7;1;0%
5.0.6;1;0%
5.0.5;1;0%
5.0.3;1;0%
5.0.2;1;0%
5.0.1;1;0%
5.0.0 RELEASE CANDIDATE 2;1;0%
5.0.0 RELEASE CANDIDATE 1;1;0%
BOUNTY/VERY EASY;1;0%
4.0.58;1;0%
5.0.0 BETA 3;1;0%
4.0.57;1;0%
4.0.56;1;0%
5.0.0 BETA 2;1;0%
TECH/WEBSOCKET;1;0%
4.0.54;1;0%
4.0.52;1;0%
4.0.49;1;0%
4.0.48;1;0%
4.0.46;1;0%
LANG/PYTHON;1;0%
4.0.45;1;0%
5.0.0 BETA 1;1;0%
4.0.43;1;0%
4.0.44;1;0%
4.0.41;1;0%
4.0.42;1;0%
BOUNTY/VERY HARD;1;0%
POSSIBLY OUTDATED;1;0%
WORKING AS INTENDED;1;0%
DEFERRED;1;0%
THINKING;1;0%
1.5;1;0%
WEB SERVICES;1;0%
RACK;1;0%
RSPEC-RAILS-2;1;0%
CONFIRMED-BUG;1;0%
CHORE;1;0%
TABLE;1;0%
1.0 BLOCKERS;1;0%
REVISIONS-NEEDED;1;0%
TEMPLATES;1;0%
4.0 BETA;1;0%
3.1.2;1;0%
3.2.0.RC;1;0%
3.0 FINAL;1;0%
2.2.1;1;0%
2.1 FINAL;1;0%
2.1 RC;1;0%
2.0.2;1;0%
2.0.1;1;0%
2.0 FINAL;1;0%
2.0.0.RC5;1;0%
2.0.0.RC4;1;0%
2.0.0.RC3;1;0%
2.0.0.RC2 (RAILS 3.1.0.RC2);1;0%
2.0.0.RC1 (RAILS 3.1 RC1);1;0%
1.2.4;1;0%
VIM;1;0%
GIT;1;0%
PENDING;1;0%
ITERAÇÃO 0.0.1;1;0%
CANTFIX;1;0%
RUBY-PROCESSING-2.6.14;1;0%
2.6.5;1;0%
2.6.1;1;0%
INTERMITTENT;1;0%
3.0.6;1;0%
RESTRUCTURE;1;0%
VERSION 3;1;0%
CONFLICT;1;0%
SDFSD;1;0%
V3;1;0%
CODING STANDARDS;1;0%
STYLING PROBLEM;1;0%
QUERY;1;0%
BLOAT;1;0%
PENDING-REPLY;1;0%
MATCHERS;1;0%
CONTEXT;1;0%
MAIN WINDOW;1;0%
NEW BEHAVIOUR;1;0%
1.3;1;0%
1.3.3;1;0%
1.2;1;0%
4-0-STABLE;1;0%
TYPUS FOR RAILS 4 GEM;1;0%
V3.2.X;1;0%
TYPUS 3.1.0;1;0%
FRIENDLYID 4.0;1;0%
LOOKING FOR HELP;1;0%
READ THIS;1;0%
NON-BUG;1;0%
MECHANIZE 2.1;1;0%
UNCLEAR;1;0%
BAD SERVER;1;0%
0.5.3;1;0%
NEEDS FOLLOW-UP;1;0%
OPTIMIZATION;1;0%
1.5.3;1;0%
CHROME;1;0%
INCOMPLETE;1;0%
MOBILE;1;0%
WORKSFORME;1;0%
IE;1;0%
BOUNTY;1;0%
DEPRECATION;1;0%
SEMANTIC;1;0%
1.4.5;1;0%
1.4.4;1;0%
LINT;1;0%
1.4.3;1;0%
1.4.2;1;0%
CORE 2.0 ALPHA 1;1;0%
CORE 1.4.0;1;0%
CORE 1.3.3;1;0%
REQUIRES INVESTIGATION;1;0%
@TAYLOR LUK;1;0%
|M| 0•3 RELEASE;1;0%
|S| RESOLVED;1;0%
FILTER;1;0%
NAMED ARGUMENT;1;0%
VARIABLE;1;0%
INTERNATIONALIZATION;1;0%
ACTIVERECORD;1;0%
