MILESTONE;QUANTIDADE
2.0.0;125
3.0;75
1.3.0;67
3.0.0;47
0.7.0;34
1.0.0;26
0.5.1;25
1.2.2;23
1.5.1;16
1.1.0;15
3.1.0;12
4.0.0;11
2.1.0;10
2.0;9
4.0;8
2.4.0;8
1.5.2;8
5.0;7
3.1;7
1.5.0;6
1.2.6;5
1.4.1;5
0.7.5;4
0.5.2;4
1.6.0;4
1.7.0;4
2.0.7;4
0.7.4;3
0.7.2;3
0.8;3
3.3.0;3
5.1.0;3
2.1;3
Future;3
1.2.7;2
0.5;2
2.2.2;2
1.3.2;2
0.9;2
1.9 API;1
stable;1
1.2.9;1
1.2.8;1
v1.0;1
eycap 0.6;1
Forgery 2.0;1
version 3.0.1;1
6.0;1
v6;1
v5;1
3.2.0 - Usability Improvements;1
3.1.0 - Rails 4.1, Bug Fixes;1
OneBody 3.0 (Redesign);1
Matthew 18:20;1
0.8.4;1
0.8.3;1
0.8.2;1
0.8.1;1
0.8.0;1
0.7.3;1
0.7.2 (Cause Github is broke);1
0.6.8;1
0.6.6;1
0.6.5;1
0.7.7;1
0.7.6.2;1
0.7.6.1;1
0.7.6;1
0.7.1.1;1
0.7.1;1
0.6.2.1;1
0.6.2;1
0.6.1;1
0.6.1.1;1
0.6;1
0.7;1
0.5.2.1;1
v2.6.11;1
v2.6.10;1
v2.6.9;1
v2.6.7;1
v2.6.6;1
v2.6.4;1
neverland;1
v2.6.3;1
v2.6.2;1
v2.7.0;1
v2.6.0;1
4.4;1
aasm4;1
4.3;1
0.6.0;1
0.5.0;1
0.4.0;1
0.3.7;1
0.3.6;1
Second wow point;1
First wow point;1
v5.0;1
v4.3.5;1
v4.3.1;1
v4.2.3;1
v4.3.2;1
v4.2.2;1
v4.2.0;1
v4.1.5;1
v4.1.4;1
v4.3.0;1
v4.1.3;1
v4.1.1;1
v4.0.5;1
v4.1;1
v4.0.4;1
v4.0.3;1
v4.0.2;1
v4.0.1;1
OpenID Connect;1
v4.0.0;1
OAuth 2 Final;1
Splinters;1
Viaduct;1
3.2.0;1
2.4.2;1
2.4.1;1
1.3.18;1
1.4.0;1
jquery-bootstrap;1
2.3.0;1
2.2.0;1
