
mattetti;artist_portfolio;mattetti;Matt Aimonetti;User;DEVELOPER;true;false;Sat Jul 19 03:13:45 BRT 2008

dann;p5-www-muxtape-scraper;dann;Dann;User;DEVELOPER;true;false;Sat Jul 19 03:34:53 BRT 2008

botandrose;eboshi;nhogle;Nick Hogle;User;DEVELOPER;true;true;Sat May 07 17:14:03 BRT 2011
botandrose;eboshi;ferriswheel;null;User;REPORTER;false;true;Tue Apr 13 00:01:11 BRT 2010
botandrose;eboshi;botandrose;Micah Geisel;User;DEVELOPER;true;false;Wed Jun 18 21:44:32 BRT 2008
botandrose;eboshi;gubito;null;User;DEVELOPER;true;false;Wed Jun 18 22:33:05 BRT 2008
botandrose;eboshi;pyrat;Alastair Brunton;User;DEVELOPER;true;false;Tue Aug 12 05:39:06 BRT 2008

geofftso;insoshi;mhartl;Michael Hartl;User;DEVELOPER;true;false;Mon Feb 18 20:18:20 BRT 2008
geofftso;insoshi;long;Long Nguyen;User;DEVELOPER;true;false;Wed Apr 09 21:20:30 BRT 2008
geofftso;insoshi;calas;Jorge Calás;User;DEVELOPER;true;false;Thu Apr 17 20:27:25 BRT 2008
geofftso;insoshi;raulparolari;Raul Parolari;User;DEVELOPER;true;false;Mon Mar 03 22:44:19 BRT 2008

thetacom;railroad;tiendung;Alex Nguyen;User;DEVELOPER;true;false;Thu Jul 03 22:51:53 BRT 2008

lavigery;scriptaculous_slider;madrobby;Thomas Fuchs;User;DEVELOPER;true;false;Sat Oct 29 15:33:10 BRST 2005


karthikc;peek;karthikc;Karthik C;User;DEVELOPER;true;false;Sun Jul 06 02:15:40 BRT 2008

skaes;railsbench;Silex;Philippe Vaucher;User;DEVELOPER;true;true;Mon Jan 13 07:29:47 BRST 2014
skaes;railsbench;skaes;Stefan Kaes;User;DEVELOPER;true;false;Tue Oct 14 05:37:01 BRT 2008

ecaradec;fscript;ecaradec;Emmanuel Caradec;User;DEVELOPER;true;false;Thu Aug 21 13:28:10 BRT 2008

zorky;mymedias;zorky;DUVAL Olivier;User;DEVELOPER;true;false;Sat Jul 19 10:57:36 BRT 2008

asb;lua-tinycdb;asb;Alex Bradbury;User;DEVELOPER;true;false;Sat Jul 19 10:53:33 BRT 2008

jbogatay;active_scaffold;jbogatay;null;User;DEVELOPER;true;false;Sat Jul 19 11:22:27 BRT 2008
jbogatay;active_scaffold;cainlevy;Lance Ivy;User;DEVELOPER;true;false;Wed Jul 02 14:23:58 BRT 2008
jbogatay;active_scaffold;robd;Rob Dupuis;User;DEVELOPER;true;false;Thu Jun 26 11:37:20 BRT 2008
jbogatay;active_scaffold;timcharper;Tim Harper;User;DEVELOPER;true;false;Thu Jan 31 20:07:46 BRST 2008
jbogatay;active_scaffold;alsemyonov;Alexander Semyonov;User;DEVELOPER;true;false;Wed Jun 18 19:52:27 BRT 2008
jbogatay;active_scaffold;flavorjones;Mike Dalessio;User;DEVELOPER;true;false;Tue May 27 14:45:37 BRT 2008

kaxero;gentoo-misc;kaxero;Mikel Olasagasti;User;DEVELOPER;true;false;Sat Jul 19 12:07:17 BRT 2008

fnando;tagger;rafaelss;Rafael Souza;User;REPORTER;false;true;Tue Apr 19 01:05:45 BRT 2011
fnando;tagger;sobrinho;Gabriel Sobrinho;User;REPORTER;false;true;Mon Jun 08 00:21:04 BRT 2009
fnando;tagger;fnando;Nando Vieira;User;DEVELOPER;true;false;Sat Jul 19 11:30:16 BRT 2008

fnando;has_bookmarks;fnando;Nando Vieira;User;DEVELOPER;true;false;Sat Jul 19 11:44:38 BRT 2008

jcoglan;has_password;jcoglan;James Coglan;User;DEVELOPER;true;false;Sun May 11 05:24:30 BRT 2008

fnando;commentable;fnando;Nando Vieira;User;DEVELOPER;true;false;Sat Jul 19 11:55:02 BRT 2008

fnando;has_friends;gbmoretti;Guilherme Burille Moretti;User;REPORTER;false;true;Sat Jan 08 01:04:32 BRST 2011
fnando;has_friends;alec-c4;Alexey Poimtsev;User;REPORTER;false;true;Wed Oct 13 05:57:30 BRT 2010
fnando;has_friends;fnando;Nando Vieira;User;DEVELOPER;true;false;Sat Jul 19 11:59:20 BRT 2008

jcoglan;attr_locked;jcoglan;James Coglan;User;DEVELOPER;true;false;Fri Jun 08 07:04:13 BRT 2007

kuccello;heroes-of-code-and-logic;kuccello;Kristan Krispy Uccello;User;DEVELOPER;true;false;Thu Mar 12 16:00:17 BRT 2009

fnando;permalink;ciceropablo;Cícero Pablo;User;DEVELOPER;true;true;Wed Apr 01 00:58:48 BRT 2015
fnando;permalink;azisaka;Bruno Azisaka;User;REPORTER;false;true;Thu Apr 05 17:35:50 BRT 2012
fnando;permalink;mateuslinhares;Mateus Linhares;User;REPORTER;false;true;Tue Oct 25 10:24:33 BRST 2011
fnando;permalink;matthewrudy;Matthew Rudy Jacobs;User;REPORTER;false;true;Mon Mar 21 11:52:33 BRT 2011
fnando;permalink;willian;Willian Fernandes;User;REPORTER;false;true;Wed Dec 08 13:56:59 BRST 2010
fnando;permalink;pal;Pål Brattberg;User;REPORTER;false;true;Thu Sep 09 19:47:34 BRT 2010
fnando;permalink;fnando;Nando Vieira;User;DEVELOPER;true;false;Sat Jul 19 12:06:09 BRT 2008

jcoglan;acts_as_uploaded;jcoglan;James Coglan;User;DEVELOPER;true;false;Wed Jun 20 06:34:53 BRT 2007

rmm5t;rails;rafaelfranca;Rafael Mendonça França;User;DEVELOPER;true;false;Wed Oct 06 12:50:31 BRT 2010
rmm5t;rails;subwindow;Erik Peterson;User;DEVELOPER;true;false;Mon Oct 22 15:48:57 BRST 2012
rmm5t;rails;carlosantoniodasilva;Carlos Antonio da Silva;User;DEVELOPER;true;false;Thu Jul 15 18:41:29 BRT 2010
rmm5t;rails;jonleighton;Jon Leighton;User;DEVELOPER;true;false;Thu Sep 30 18:01:03 BRT 2010
rmm5t;rails;pixeltrix;Andrew White;User;DEVELOPER;true;false;Thu Jan 15 21:34:25 BRST 2009
rmm5t;rails;s-osa;OSA Shunsuke;User;DEVELOPER;true;false;Fri Apr 05 03:21:48 BRT 2013
rmm5t;rails;neerajdotname;Neeraj Singh;User;DEVELOPER;true;false;Wed May 19 02:29:15 BRT 2010
rmm5t;rails;tenderlove;Aaron Patterson;User;DEVELOPER;true;false;Fri Jan 09 18:13:17 BRST 2009
