
gsmcwhirter;krai;gsmcwhirter;Gregory McWhirter;User;DEVELOPER;true;true;Fri Jul 11 15:29:54 BRT 2008

dce;profile_validator;dce;David Eisinger;User;DEVELOPER;true;false;Fri Jul 11 15:41:25 BRT 2008

fajran;utcbzip2;fajran;Fajran Iman Rusadi;User;DEVELOPER;true;false;Fri Jul 11 15:35:58 BRT 2008

Aissac;radiant-paginate-extension;elmacnifico;Paul H. Müller;User;REPORTER;false;true;Wed Apr 28 16:09:18 BRT 2010
Aissac;radiant-paginate-extension;ihoka;Istvan Hoka;User;DEVELOPER;true;false;Fri Jul 11 16:46:10 BRT 2008
Aissac;radiant-paginate-extension;saturnflyer;Jim Gay;User;DEVELOPER;true;false;Thu Jan 29 02:25:23 BRST 2009
Aissac;radiant-paginate-extension;jomz;Benny Degezelle;User;DEVELOPER;true;false;Wed Jan 21 13:09:26 BRST 2009
Aissac;radiant-paginate-extension;turingmachine;Simon Josi;User;DEVELOPER;true;false;Sun Jan 18 12:03:05 BRST 2009

dudleyf;color-theme-github;troglobit;Joachim Nilsson;User;DEVELOPER;true;true;Thu Aug 27 10:28:30 BRT 2015
dudleyf;color-theme-github;fasheng;fasheng;User;REPORTER;false;true;Sun Oct 06 04:14:46 BRT 2013
dudleyf;color-theme-github;infosoph;Luke Gaudreau;User;REPORTER;false;true;Fri May 11 12:29:24 BRT 2012
dudleyf;color-theme-github;jtimberman;Joshua Timberman;User;DEVELOPER;true;true;Thu Mar 22 16:46:40 BRT 2012
dudleyf;color-theme-github;gorakhargosh;Yesudeep Mangalapilly;User;DEVELOPER;true;true;Wed Jul 13 12:03:28 BRT 2011
dudleyf;color-theme-github;dudleyf;Dudley Flanders;User;DEVELOPER;true;false;Fri Jul 11 17:07:12 BRT 2008

misto;imap-feeder;misto;Mirko Stocker;User;DEVELOPER;true;false;Mon Jun 09 17:17:07 BRT 2008

jeresig;dromaeo;muelli;null;User;REPORTER;false;true;Fri Feb 07 16:41:18 BRST 2014
jeresig;dromaeo;manul7;Konstantin Belov;User;DEVELOPER;true;true;Thu Jan 30 07:29:51 BRST 2014
