
felipec;libgmsn;felipec;Felipe Contreras;User;DEVELOPER;true;false;Sun Jun 15 18:30:21 BRT 2008

ymendel;fsevents;ymendel;Yossef Mendelssohn;User;DEVELOPER;true;false;Wed Jun 11 17:23:59 BRT 2008

myles;django-photo-gallery;tomschr;Thomas Schraitle;User;DEVELOPER;true;true;Sun Apr 08 09:35:35 BRT 2012
myles;django-photo-gallery;myles;Myles Braithwaite;User;DEVELOPER;true;false;Sun Jun 15 21:13:43 BRT 2008


bryanjswift;mootools-plugins;bryanjswift;Bryan J Swift;User;DEVELOPER;true;false;Sun Jun 15 21:48:30 BRT 2008

andrewguy9;kernelpanic;andrewguy9;Andrew Thomson;User;DEVELOPER;true;false;Sat Feb 18 04:28:36 BRST 2012


anotherjesse;droplet;anotherjesse;Jesse Andrews;User;DEVELOPER;true;false;Sun Jun 15 22:49:46 BRT 2008

maddox;mobile_scores;maddox;Jon Maddox;User;DEVELOPER;true;false;Sat Mar 15 01:55:34 BRT 2008


knewter;the-copypirate;knewter;Josh Adams;User;DEVELOPER;true;false;Mon Jun 16 00:01:48 BRT 2008

neshmi;restful-authentication;neshmi;Matthew Vincent;User;DEVELOPER;true;false;Mon Jun 16 00:41:17 BRT 2008
neshmi;restful-authentication;codafoo;Codafoo;User;DEVELOPER;true;false;Tue Jun 03 09:36:17 BRT 2008
neshmi;restful-authentication;technoweenie;risk danger olson;User;DEVELOPER;true;false;Tue Jan 01 20:24:36 BRST 2008
neshmi;restful-authentication;redmar;Redmar Kerkhoff;User;DEVELOPER;true;false;Mon May 26 08:46:18 BRT 2008
neshmi;restful-authentication;andrew;Andrew Nesbitt;User;DEVELOPER;true;false;Mon May 12 04:25:11 BRT 2008
neshmi;restful-authentication;bscofield;Ben Scofield;User;DEVELOPER;true;false;Wed Mar 12 16:38:40 BRT 2008

techpeace;asked_and_answered;techpeace;Matt Buck;User;DEVELOPER;true;false;Mon Jun 16 01:20:04 BRT 2008

geoffreyd;gash;geoffreyd;Geoffrey Donaldson;User;DEVELOPER;true;false;Mon Jun 16 01:06:08 BRT 2008

kings;jobberrails;jcnetdev;Jacques Crocker;User;DEVELOPER;true;false;Wed Jun 11 22:22:51 BRT 2008

viz;trackmyjobs;viz;Peter Whitfield;User;DEVELOPER;true;false;Mon Jun 16 19:59:20 BRT 2008

yob;san;yob;James Healy;User;DEVELOPER;true;false;Mon Jun 16 03:11:26 BRT 2008

jacius;rubygame;jacius;John Croisant;User;DEVELOPER;true;false;Sat Dec 04 16:10:07 BRST 2004
jacius;rubygame;bartleusink;Bart Leusink;User;DEVELOPER;true;false;Wed Feb 02 14:10:47 BRST 2011
jacius;rubygame;tylerc;Tyler Church;User;DEVELOPER;true;false;Mon Sep 06 21:01:14 BRT 2010
jacius;rubygame;atiaxi;Roger Ostrander;User;DEVELOPER;true;false;Wed Feb 07 22:09:06 BRST 2007
jacius;rubygame;ippa;ippa;User;DEVELOPER;true;false;Tue Jun 17 17:10:42 BRT 2008
jacius;rubygame;smashwilson;Ash Wilson;User;DEVELOPER;true;false;Fri Apr 06 19:34:04 BRT 2007
jacius;rubygame;beoran;Beoran;User;DEVELOPER;true;false;Tue Nov 13 21:39:42 BRST 2007
jacius;rubygame;apeiros;Stefan Rusterholz;User;DEVELOPER;true;false;Thu Apr 19 20:18:32 BRT 2007

