


dams;params-check-faster;closed;?????? ???????;Fri Oct 02 12:22:19 BRT 2015;Sun Oct 04 12:39:48 BRT 2015;2;

mootools;mootools-core;open;Jark Tonnätt;Tue Oct 13 07:19:18 BRT 2015;null;0;
mootools;mootools-core;closed;Tim Wienk;Thu Oct 08 13:21:18 BRT 2015;Fri Oct 09 13:27:25 BRT 2015;1;
mootools;mootools-core;open;Henning Bopp;Sat Oct 03 07:12:27 BRT 2015;null;10;
mootools;mootools-core;closed;Tim Wienk;Sat Oct 03 06:41:17 BRT 2015;Mon Oct 05 06:04:20 BRT 2015;1;
mootools;mootools-core;closed;Tim Wienk;Thu Oct 01 20:29:00 BRT 2015;Fri Oct 02 02:06:10 BRT 2015;0;
mootools;mootools-core;closed;Arian Stolwijk;Thu Oct 01 08:23:03 BRT 2015;Thu Oct 01 12:00:26 BRT 2015;0;
mootools;mootools-core;closed;Arian Stolwijk;Thu Oct 01 08:08:57 BRT 2015;Thu Oct 01 11:00:55 BRT 2015;0;
mootools;mootools-core;closed;Tim Wienk;Thu Oct 01 07:53:11 BRT 2015;Thu Oct 01 08:03:42 BRT 2015;0;
mootools;mootools-core;closed;Tim Wienk;Wed Sep 30 12:52:53 BRT 2015;Thu Oct 01 07:42:53 BRT 2015;0;
mootools;mootools-core;closed;Iván Guardado;Thu Sep 24 05:51:24 BRT 2015;Thu Sep 24 06:41:19 BRT 2015;0;
mootools;mootools-core;closed;Tim Wienk;Wed Sep 23 14:29:25 BRT 2015;Thu Oct 01 08:03:43 BRT 2015;7;
mootools;mootools-core;closed;Iván Guardado;Fri Sep 18 19:03:25 BRT 2015;Sat Sep 19 07:33:36 BRT 2015;0;
mootools;mootools-core;closed;Sergio Crisostomo;Tue Sep 08 17:26:44 BRT 2015;Tue Sep 08 17:28:39 BRT 2015;0;
mootools;mootools-core;open;null;Thu Aug 27 02:39:48 BRT 2015;null;47;
mootools;mootools-core;open;Tin LE GALL;Tue Aug 25 18:08:06 BRT 2015;null;49;
mootools;mootools-core;closed;Sergio Crisostomo;Fri Aug 07 19:29:20 BRT 2015;Sun Aug 23 09:20:06 BRT 2015;15;
mootools;mootools-core;closed;Sergio Crisostomo;Sun Jul 12 17:13:23 BRT 2015;Sun Jul 12 19:10:05 BRT 2015;0;
mootools;mootools-core;open;Nathan;Thu Jul 09 10:21:46 BRT 2015;null;96;
mootools;mootools-core;closed;Hassan;Sat Jul 04 10:57:50 BRT 2015;Sat Jul 04 10:58:20 BRT 2015;0;
mootools;mootools-core;open;Sebastiaan;Sat Jun 27 09:42:57 BRT 2015;null;108;
mootools;mootools-core;closed;null;Mon Jun 22 09:59:41 BRT 2015;Mon Jun 22 10:28:25 BRT 2015;0;
mootools;mootools-core;open;Iván Guardado;Mon Jun 15 06:38:02 BRT 2015;null;120;
mootools;mootools-core;open;Iván Guardado;Fri Jun 12 09:34:10 BRT 2015;null;123;
mootools;mootools-core;closed;Kevin Kirsche;Thu Jun 11 21:59:30 BRT 2015;Fri Jun 12 04:36:09 BRT 2015;0;
mootools;mootools-core;open;Sergio Crisostomo;Fri Jun 05 07:21:12 BRT 2015;null;130;
mootools;mootools-core;open;Fabio Zendhi Nagao;Tue May 12 01:25:13 BRT 2015;null;154;
mootools;mootools-core;closed;Sergio Crisostomo;Fri May 08 19:14:29 BRT 2015;Tue May 12 07:09:04 BRT 2015;3;
mootools;mootools-core;closed;Thomas Baumgartner;Thu May 07 20:39:39 BRT 2015;Tue May 12 15:43:39 BRT 2015;4;
mootools;mootools-core;closed;Arian Stolwijk;Tue May 05 07:55:50 BRT 2015;Tue May 05 09:14:55 BRT 2015;0;
mootools;mootools-core;closed;null;Mon May 04 06:14:38 BRT 2015;Tue May 05 09:14:55 BRT 2015;1;
mootools;mootools-core;closed;Rodion;Fri May 01 12:11:21 BRT 2015;Fri May 01 12:17:31 BRT 2015;0;
mootools;mootools-core;open;null;Thu Apr 30 14:27:58 BRT 2015;null;166;
mootools;mootools-core;closed;null;Wed Apr 22 14:44:47 BRT 2015;Thu Apr 30 02:03:38 BRT 2015;7;
mootools;mootools-core;closed;Kevin Sweeney;Fri Apr 10 20:02:20 BRT 2015;Wed Apr 15 11:36:39 BRT 2015;4;
mootools;mootools-core;closed;???????? ?????;Tue Apr 07 17:16:35 BRT 2015;Fri Apr 10 10:51:35 BRT 2015;2;
mootools;mootools-core;closed;François Leurent;Mon Apr 06 05:06:52 BRT 2015;Thu Apr 09 04:06:01 BRT 2015;2;
mootools;mootools-core;open;Rodion;Sun Apr 05 12:55:37 BRT 2015;null;191;
mootools;mootools-core;closed;Jake Scott;Fri Mar 27 21:42:32 BRT 2015;Fri Mar 27 21:53:29 BRT 2015;0;
mootools;mootools-core;closed;Josh Matthews;Fri Mar 27 10:38:55 BRT 2015;Fri Mar 27 11:11:06 BRT 2015;0;
mootools;mootools-core;closed;Alex Badarin;Sun Mar 15 12:50:50 BRT 2015;Mon Mar 16 07:08:15 BRT 2015;0;
mootools;mootools-core;open;Sergio Crisostomo;Wed Mar 11 19:04:25 BRT 2015;null;216;
mootools;mootools-core;closed;Sergio Crisostomo;Sun Feb 22 20:16:53 BRT 2015;Sun Feb 22 22:11:55 BRT 2015;0;
mootools;mootools-core;open;Arian Stolwijk;Mon Feb 16 17:55:07 BRST 2015;null;239;
mootools;mootools-core;closed;Sergio Crisostomo;Thu Feb 12 21:04:28 BRST 2015;Thu Feb 12 21:08:23 BRST 2015;0;
mootools;mootools-core;closed;Arian Stolwijk;Mon Feb 09 15:18:58 BRST 2015;Sun Aug 23 09:20:06 BRT 2015;194;
mootools;mootools-core;closed;Sergio Crisostomo;Mon Feb 09 01:22:58 BRST 2015;Mon Feb 09 01:23:07 BRST 2015;0;
mootools;mootools-core;closed;Sergio Crisostomo;Mon Feb 09 00:52:59 BRST 2015;Mon Feb 09 00:53:52 BRST 2015;0;
mootools;mootools-core;closed;Sergio Crisostomo;Sun Feb 01 17:41:35 BRST 2015;Tue Feb 24 05:40:52 BRT 2015;22;
