UserName;RepositoryName;IDRepo;State;ID;ReporterName;CreateAt;ClosedAt;TimeToFix;ReporterDistinct
mojombo;grit;mojombogrit;closed;23423;7rans;Thu Aug 08 01:01:21 BRT 2013;Mon Feb 03 17:39:35 BRST 2014;179;1
mojombo;grit;mojombogrit;closed;23423;7rans;Tue Jun 28 23:42:27 BRT 2011;Sat Jul 09 01:07:59 BRT 2011;10;0
mojombo;grit;mojombogrit;closed;19543;Adam Mckaig;Tue Jul 12 23:04:33 BRT 2011;Mon Feb 03 17:37:52 BRST 2014;936;1
mojombo;grit;mojombogrit;closed;19543;Adam Mckaig;Tue Jul 12 05:39:33 BRT 2011;Mon Feb 03 17:37:56 BRST 2014;937;0
mojombo;grit;mojombogrit;closed;255758;Adrian Irving-Beer;Thu Jan 27 18:54:07 BRST 2011;Mon Feb 03 17:38:35 BRST 2014;1102;1
mojombo;grit;mojombogrit;closed;5013;Adriano Bonat;Sat Aug 13 21:32:31 BRT 2011;Mon Feb 03 17:37:28 BRST 2014;904;1
mojombo;grit;mojombogrit;closed;112516;Akzhan Abdulin;Thu Aug 02 10:55:22 BRT 2012;Mon Feb 03 17:33:35 BRST 2014;550;1
mojombo;grit;mojombogrit;closed;39259;Alagu;Wed Jul 03 20:02:55 BRT 2013;Mon Feb 03 17:39:43 BRST 2014;214;1
mojombo;grit;mojombogrit;closed;201794;Alejandro Martinez;Fri Feb 12 09:53:02 BRST 2010;Fri Apr 20 20:07:40 BRT 2012;798;1
mojombo;grit;mojombogrit;closed;690188;Alexander Dormann;Fri Sep 07 03:42:16 BRT 2012;Mon Feb 03 17:39:58 BRST 2014;514;1
mojombo;grit;mojombogrit;closed;316127;Alexander Zimin;Thu Jun 16 00:56:13 BRT 2011;Mon Feb 03 17:38:18 BRST 2014;963;1
mojombo;grit;mojombogrit;closed;150174;Andreas Loupasakis;Tue Apr 02 08:59:05 BRT 2013;Mon Feb 03 17:30:45 BRST 2014;307;1
mojombo;grit;mojombogrit;closed;510788;Andrew Kumanyaev;Thu Sep 20 12:27:14 BRT 2012;Thu Sep 27 05:00:18 BRT 2012;6;1
mojombo;grit;mojombogrit;closed;4259;Ben Hughes;Sun Nov 28 18:18:54 BRST 2010;Mon Feb 03 17:38:42 BRST 2014;1162;1
mojombo;grit;mojombogrit;closed;4259;Ben Hughes;Sun Nov 28 15:49:17 BRST 2010;Thu Dec 09 19:27:56 BRST 2010;11;0
mojombo;grit;mojombogrit;closed;142914;Benjamin Fleischer;Tue Aug 13 11:34:40 BRT 2013;Mon Feb 03 17:39:31 BRST 2014;174;1
mojombo;grit;mojombogrit;closed;56934;Bernard Lambeau;Sat Oct 15 03:51:57 BRT 2011;Mon Feb 03 17:36:29 BRST 2014;842;1
mojombo;grit;mojombogrit;closed;56934;Bernard Lambeau;Fri Oct 14 13:05:51 BRT 2011;Sat Oct 15 03:40:52 BRT 2011;0;0
mojombo;grit;mojombogrit;closed;20322;Bert Hajee;Fri Jan 18 19:47:56 BRST 2013;Mon Feb 03 17:43:27 BRST 2014;380;1
mojombo;grit;mojombogrit;closed;5341957;Bertram Scharpf;Thu Jan 09 11:52:18 BRST 2014;Mon Feb 03 17:28:07 BRST 2014;25;1
mojombo;grit;mojombogrit;closed;4330;Bobby Wilson;Wed Jun 01 23:34:28 BRT 2011;Mon Feb 03 17:38:24 BRST 2014;977;1
mojombo;grit;mojombogrit;closed;4330;Bobby Wilson;Mon May 30 15:36:49 BRT 2011;Mon May 30 19:22:38 BRT 2011;0;0
mojombo;grit;mojombogrit;closed;16108;Brandon CS Sanders;Sun Feb 14 15:59:54 BRST 2010;Mon Feb 03 17:46:18 BRST 2014;1450;1
mojombo;grit;mojombogrit;closed;173;Brandon Keepers;Tue Jan 28 17:07:30 BRST 2014;Mon Feb 03 17:24:07 BRST 2014;6;1
mojombo;grit;mojombogrit;closed;173;Brandon Keepers;Tue Jan 14 18:27:51 BRST 2014;Thu Jan 16 17:34:14 BRST 2014;1;0
mojombo;grit;mojombogrit;closed;37398;Brian Campbell;Mon Nov 15 14:36:25 BRST 2010;Mon Feb 03 17:38:50 BRST 2014;1176;1
mojombo;grit;mojombogrit;closed;44789;Brian Candler;Mon Mar 22 09:32:02 BRT 2010;Mon Feb 03 17:45:46 BRST 2014;1414;1
mojombo;grit;mojombogrit;closed;44789;Brian Candler;Mon Mar 22 09:30:53 BRT 2010;Mon Feb 03 17:45:50 BRST 2014;1414;0
mojombo;grit;mojombogrit;closed;44789;Brian Candler;Mon Mar 22 09:22:48 BRT 2010;Mon Feb 03 17:46:06 BRST 2014;1414;0
mojombo;grit;mojombogrit;closed;44789;Brian Candler;Mon Mar 22 09:18:42 BRT 2010;Mon Feb 03 17:46:09 BRST 2014;1414;0
mojombo;grit;mojombogrit;closed;44789;Brian Candler;Mon Mar 22 09:14:07 BRT 2010;Mon Feb 03 17:46:14 BRST 2014;1414;0
mojombo;grit;mojombogrit;closed;318501;Caleb Spare;Tue Feb 07 10:31:35 BRST 2012;Mon Feb 03 17:35:06 BRST 2014;727;1
mojombo;grit;mojombogrit;closed;27545;Chris Hoffman;Sat Aug 14 04:59:00 BRT 2010;Mon Feb 03 17:45:33 BRST 2014;1269;1
mojombo;grit;mojombogrit;closed;101044;Chris Lowder;Wed May 23 14:06:33 BRT 2012;Mon Feb 03 17:34:25 BRST 2014;621;1
