Linguagem;Issues
Ruby;40038
JavaScript;4395
ActionScript;83
null;702
C;4284
Erlang;1078
Arc;1
Emacs Lisp;426
Python;2532
Io;1
CSS;5
Objective-C;465
Common Lisp;18
Perl;643
PHP;748
Lua;451
VimL;1216
Java;1787
PostScript;4
C++;2747
Scheme;1
Shell;181
Nu;3
Parrot;0
Forth;5
HTML;119
C#;415
Groovy;9
Scala;209
Haskell;42
Clojure;144
OCaml;4
XSLT;20
Perl6;32
Visual Basic;1
R;1491
Ragel in Ruby Host;3
LilyPond;2
Pascal;0
TeX;125
Prolog;0
Puppet;75
Makefile;40
Assembly;231
Go;4
Vala;0
Bro;1
Factor;2
D;1
FORTRAN;102
ASP;0
Scilab;0
Awk;0
