NAME;TOTAL;% of tagged Issues
BUG;1711;34,64%
FEATURE;918;18,58%
ENHANCEMENT;326;6,60%
QUESTION;163;3,30%
DOC;143;2,89%
INVALID;91;1,84%
WONT FIX;86;1,74%
RUBY;80;1,62%
PARSER;53;1,07%
TODO;37;0,75%
NEED FEEDBACK;35;0,71%
0.7.0;34;0,69%
REGRESSION;33;0,67%
IMPROVEMENT;33;0,67%
REQUEST;32;0,65%
INVESTIGATE;31;0,63%
CANNOT REPRODUDE;30;0,61%
PATCH;26;0,53%
2.0;26;0,53%
5.0.0;24;0,49%
CODE;24;0,49%
2.0.0;24;0,49%
NEED MORE INFO;23;0,47%
THIRD PARTY;21;0,43%
DISCUSS;19;0,38%
TEST;15;0,30%
REFACTOR;15;0,30%
IMPORTANT;14;0,28%
API;14;0,28%
1.1.0;14;0,28%
COMPATIBILITY;13;0,26%
RAILS;12;0,24%
WISH;11;0,22%
4.0.0;10;0,20%
DUPLICATE;10;0,20%
HELP WANTED;9;0,18%
WINDOWS;8;0,16%
3.0;8;0,16%
PERFORMANCE;8;0,16%
TASK;7;0,14%
3.1.0;6;0,12%
IN PROGRESS;6;0,12%
FEEDBACK;6;0,12%
INTERNAL;6;0,12%
FIX;6;0,12%
SUPPORT;6;0,12%
AASM4;6;0,12%
ROUTING;5;0,10%
1.4.1;5;0,10%
CORE;5;0,10%
I18N;4;0,08%
2.0.7;4;0,08%
MINOR;4;0,08%
0.7.5;4;0,08%
3.1;4;0,08%
POSTGRESQL;3;0,06%
JRUBY;3;0,06%
SECURITY;3;0,06%
EXTINCT;3;0,06%
2.1;3;0,06%
WIP;3;0,06%
1.3.0;3;0,06%
1.2.2;3;0,06%
ON HOLD;3;0,06%
5.0;3;0,06%
FUTURE;3;0,06%
0.5.1;3;0,06%
1.2.6;3;0,06%
UI;3;0,06%
ERROR;3;0,06%
4.0;3;0,06%
0.7.4;3;0,06%
0.7.2;3;0,06%
V4.3.1;3;0,06%
ACTIVERECORD;2;0,04%
STALE;2;0,04%
2.0.X;2;0,04%
EASY;2;0,04%
1.3.2;2;0,04%
3.3.0;2;0,04%
2.2.2;2;0,04%
0.5.2;2;0,04%
SPEC;2;0,04%
1.7.0;2;0,04%
1.5.0;2;0,04%
NICE TO HAVE;2;0,04%
1 - READY;2;0,04%
READY;2;0,04%
DEV;2;0,04%
MYSQL;2;0,04%
WAITING;2;0,04%
RESEARCH;2;0,04%
0.5;2;0,04%
WEBSITE;2;0,04%
DSL;2;0,04%
NEEDS WORK;2;0,04%
CRITICAL;2;0,04%
HIGH;2;0,04%
5.1.0;2;0,04%
3.0.0;2;0,04%
2.2;2;0,04%
BUILD;2;0,04%
1.2.7;2;0,04%
V4.3.0;2;0,04%
IDEA;2;0,04%
ONHOLD;1;0,02%
ACTIVEMODEL;1;0,02%
ACTIVEJOB;1;0,02%
ATTACHED PR;1;0,02%
ACTIONPACK;1;0,02%
NEED WORK;1;0,02%
4.2.5;1;0,02%
RAILTIES;1;0,02%
ENGINES;1;0,02%
ACTIONVIEW;1;0,02%
ACTIVESUPPORT;1;0,02%
ACTIONMAILER;1;0,02%
4.2.4;1;0,02%
WITH REPRODUCTION STEPS;1;0,02%
GSOC;1;0,02%
4.1.13;1;0,02%
4.2.3;1;0,02%
RELEASE BLOCKER;1;0,02%
ENUM;1;0,02%
RUBINIUS;1;0,02%
ASSET PIPELINE;1;0,02%
PINNED;1;0,02%
4.1.12;1;0,02%
OPENACADEMY;1;0,02%
4.1.14;1;0,02%
4.2.1;1;0,02%
4.1.10;1;0,02%
4.0.13;1;0,02%
4.1.9;1;0,02%
4.2.0;1;0,02%
4.1.8;1;0,02%
4.1.6;1;0,02%
4.0.10;1;0,02%
4.0.6;1;0,02%
4.1.2;1;0,02%
4.1.0;1;0,02%
4.0.4;1;0,02%
4.0.1;1;0,02%
3.2.15;1;0,02%
3.2.14;1;0,02%
3.2.13;1;0,02%
3.2.10;1;0,02%
3.2.9;1;0,02%
3.2.8;1;0,02%
3.2.7;1;0,02%
3.2.6;1;0,02%
3.2.3;1;0,02%
3.2.2;1;0,02%
3.2.4;1;0,02%
3.2.1;1;0,02%
RAILS 3.2;1;0,02%
3.1.4;1;0,02%
3.1.3;1;0,02%
3.0.11;1;0,02%
3.1.1;1;0,02%
3.1.5;1;0,02%
RAILS 3.1;1;0,02%
3.0.10;1;0,02%
3.0.9;1;0,02%
3.0.13;1;0,02%
RAILS 3.0.8;1;0,02%
0.4;1;0,02%
NEEDS VERIFICATION;1;0,02%
CANTFIX;1;0,02%
RUBY-PROCESSING-2.6.14;1;0,02%
2.6.5;1;0,02%
2.6.1;1;0,02%
INTERMITTENT;1;0,02%
3.0.6;1;0,02%
RESTRUCTURE;1;0,02%
VERSION 3;1;0,02%
CONFLICT;1;0,02%
SDFSD;1;0,02%
V3;1;0,02%
CODING STANDARDS;1;0,02%
STYLING PROBLEM;1;0,02%
QUERY;1;0,02%
BLOAT;1;0,02%
PENDING-REPLY;1;0,02%
MATCHERS;1;0,02%
CONTEXT;1;0,02%
NEEDS TESTS;1;0,02%
NEW BEHAVIOUR;1;0,02%
1.3;1;0,02%
1.3.3;1;0,02%
1.2;1;0,02%
4-0-STABLE;1;0,02%
TYPUS FOR RAILS 4 GEM;1;0,02%
V3.2.X;1;0,02%
V3.1.X;1;0,02%
TYPUS 3.1.0;1;0,02%
V3.0.X;1;0,02%
FRIENDLYID 4.0;1;0,02%
LOOKING FOR HELP;1;0,02%
READ THIS;1;0,02%
NON-BUG;1;0,02%
MECHANIZE 2.1;1;0,02%
UNCLEAR;1;0,02%
BAD SERVER;1;0,02%
0.5.3;1;0,02%
CSS;1;0,02%
NEEDS FOLLOW-UP;1;0,02%
1.5.2;1;0,02%
1.6.0;1;0,02%
CHROME;1;0,02%
1.5.3;1;0,02%
INCOMPLETE;1;0,02%
OPTIMIZATION;1;0,02%
MOBILE;1;0,02%
WORKSFORME;1;0,02%
1.5.1;1;0,02%
IE;1;0,02%
BOUNTY;1;0,02%
DEPRECATION;1;0,02%
SEMANTIC;1;0,02%
1.4.5;1;0,02%
1.4.4;1;0,02%
LINT;1;0,02%
1.4.3;1;0,02%
1.4.2;1;0,02%
CORE 2.0 ALPHA 1;1;0,02%
CORE 1.4.0;1;0,02%
CORE 1.3.3;1;0,02%
REQUIRES INVESTIGATION;1;0,02%
@TAYLOR LUK;1;0,02%
