NOME;QUANTIDADE
 - FEATURE REQUEST ;1
 !HIGH ;1
 !LOW ;1
 !MEDIUM ;1
 #ACCEPTED ;1
 #ACKNOWLEDGED ;1
 #DUPLICATE ;1
 #FIXED ;1
 #NEEDS-CONFIRMATION ;1
 #NEEDS-IMPROVEMENT ;1
 #NEEDS-INFO ;1
 #NEEDS-PATCH ;1
 #NEEDS-REDUCTION ;1
 #NEEDS-REVIEW ;1
 #NEEDS-UNIT-TEST ;1
 #NEW ;1
 #READY-TO-COMMIT ;1
 #WONT-FIX ;1
 #WORKINGONIT ;1
 #WORKS-FOR-ME ;1
 ? ;1
 @BEN JOHNSON ;1
 @DESIGN ;1
 @MATTUP ;1
 @TAYLOR LUK ;1
 |M| 0•3 RELEASE ;1
 |M| 0•4 ;1
 |M| 0•5 ;1
 |S| NEW ;2
 |S| OPEN ;1
 |S| RESOLVED ;1
 0 - BACKLOG ;2
 0.0.1 ;1
 0.0.2 ;1
 0.0.3 ;1
 0.1.0 ;2
 0.10 ;1
 0.12 ;1
 0.12.1 ;1
 0.2.10 ;1
 0.21.31 ;1
 0.3 ;1
 0.3.1 ;1
 0.3.2 ;1
 0.3.3 ;1
 0.3.6 ;1
 0.3.7 ;1
 0.35 ;1
 0.36 ;1
 0.37 ;1
 0.4 ;4
 0.4.0 ;1
 0.4.1 ;1
 0.5 ;3
 0.5.0 ;2
 0.5.1 ;3
 0.5.2 ;2
 0.5.2.1 ;1
 0.5.3 ;1
 0.6 ;1
 0.6 RELEASE ;1
 0.6.0 ;2
 0.6.1 ;2
 0.6.1.1 ;1
 0.6.2 ;2
 0.6.2.1 ;1
 0.6.3 ;1
 0.6.5 ;1
 0.6.6 ;1
 0.6.8 ;1
 0.7 ;1
 0.7 RELEASE ;2
 0.7.0 ;4
 0.7.1 ;1
 0.7.1.1 ;1
 0.7.2 ;2
 0.7.2 (CAUSE GITHUB IS BROKE) ;1
 0.7.3 ;1
 0.7.4 ;2
 0.7.5 ;2
 0.7.6 ;1
 0.7.6.1 ;1
 0.7.6.2 ;1
 0.7.7 ;1
 0.8 ;2
 0.8.0 ;2
 0.8.1 ;2
 0.8.2 ;2
 0.8.3 ;2
 0.8.4 ;1
 0.9 ;2
 0.9.0 ;1
 0.9.1 ;2
 0.9.2 ;3
 0.9.3 ;1
 0.9.3.1 ;1
 0.9.5 ;1
 0.9.6 ;1
 0.9.7 ;1
 0.9.7-1 ;1
 0.9.8 ;1
 0.9.9 ;1
 1 - PENDING ;1
 1 - READY ;2
 1.0 ;6
 1.0 BLOCKERS ;1
 1.0 RELEASE ;2
 1.0.0 ;6
 1.0.5 ;1
 1.0.PRE ;1
 1.0.X ;2
 1.0-R1 ;1
 1.0-R2 ;1
 1.1 ;4
 1.1.0 ;5
 1.1.2 ;1
 1.1.3 ;1
 1.1.4 ;1
 1.1.X ;2
 1.11 ;1
 1.2 ;3
 1.2.0 ;2
 1.2.2 ;5
 1.2.3 ;2
 1.2.4 ;1
 1.2.5 ;3
 1.2.6 ;3
 1.2.7 ;2
 1.2.8 ;1
 1.2.9 ;1
 1.2.X ;1
 1.3 ;4
 1.3.0 ;6
 1.3.1 ;1
 1.3.1 (RELEASED) ;1
 1.3.18 ;1
 1.3.2 ;3
 1.3.2 (RELEASED) ;1
 1.3.3 ;2
 1.3.3 (RELEASED) ;1
 1.3.4 ;1
 1.3.X ;1
 1.4 ;2
 1.4.0 ;3
 1.4.1 ;2
 1.4.2 ;1
 1.4.3 ;1
 1.4.4 ;1
 1.4.5 ;1
 1.5 ;3
 1.5.0 ;3
 1.5.1 ;4
 1.5.2 ;2
 1.6 ;1
 1.6.0 ;2
 1.6.4 ;1
 1.6.6 ;1
 1.6.7 ;1
 1.7 ;1
 1.7.0 ;3
 1.7.1 ;1
 1.8 ;1
 1.9 ;1
 1.9 API ;1
 1.X ;1
 10.2 ;1
 10.3 ;1
 10.4 ;1
 2 - FEATURE/ENHANCEMENT ;1
 2 - WORKING ;2
 2.0 ;14
 2.0 FINAL ;1
 2.0.0 ;10
 2.0.0 RC ;1
 2.0.0.RC1 (RAILS 3.1 RC1) ;1
 2.0.0.RC2 (RAILS 3.1.0.RC2) ;1
 2.0.0.RC3 ;1
 2.0.0.RC4 ;1
 2.0.0.RC5 ;1
 2.0.1 ;2
 2.0.2 ;1
 2.0.3 ;1
 2.0.4 ;1
 2.0.5 ;1
 2.0.7 ;2
 2.0.7.1 ;1
 2.0.7.2 ;1
 2.0.7.3 ;1
 2.0.9 ;1
 2.0.X ;2
 2.1 ;5
 2.1 FINAL ;1
 2.1 RC ;1
 2.1.0 ;2
 2.1.5 ;1
 2.1.6 ;1
 2.1.7 ;1
 2.1.7.1 ;1
 2.1.8 ;1
 2.12-RELEASE ;1
 2.13-RELEASE ;1
 2.14-RELEASE ;1
 2.2 ;4
 2.2.0 ;1
 2.2.1 ;1
 2.2.2 ;2
 2.3 ;2
 2.3.0 ;1
 2.3.4 ;1
 2.4 ;1
 2.4.0 ;2
 2.4.1 ;1
 2.4.2 ;1
 2.5 ;1
 2.6.1 ;1
 2.6.5 ;1
 2.X ;1
 3 - DONE ;1
 3 - LOW ;1
 3.0 ;8
 3.0 FINAL ;1
 3.0 RELEASE ;2
 3.0.0 ;3
 3.0.0 RELEASE ;1
 3.0.1 RELEASE ;1
 3.0.10 ;1
 3.0.11 ;1
 3.0.13 ;1
 3.0.3 ;1
 3.0.6 ;1
 3.0.9 ;1
 3.1 ;4
 3.1.0 ;4
 3.1.0 - RAILS 4.1, BUG FIXES ;1
 3.1.0 RELEASE ;1
 3.1.1 ;1
 3.1.2 ;1
 3.1.3 ;1
 3.1.4 ;1
 3.1.5 ;1
 3.2 ;1
 3.2.0 ;2
 3.2.0 - USABILITY IMPROVEMENTS ;1
 3.2.0.RC ;1
 3.2.1 ;2
 3.2.10 ;1
 3.2.13 ;1
 3.2.14 ;1
 3.2.15 ;1
 3.2.2 ;1
 3.2.3 ;1
 3.2.4 ;1
 3.2.6 ;1
 3.2.7 ;1
 3.2.8 ;1
 3.2.9 ;1
 3.3.0 ;2
 3.3.2 ;1
 3.X ;1
 3DSECURE ;1
 4 - HIGH ;1
 4.0 ;5
 4.0 BETA ;1
 4.0.0 ;6
 4.0.1 ;1
 4.0.10 ;1
 4.0.13 ;1
 4.0.4 ;1
 4.0.41 ;1
 4.0.42 ;1
 4.0.43 ;1
 4.0.44 ;1
 4.0.45 ;1
 4.0.46 ;1
 4.0.48 ;1
 4.0.49 ;1
 4.0.52 ;1
 4.0.54 ;1
 4.0.56 ;1
 4.0.57 ;1
 4.0.58 ;1
 4.0.6 ;1
 4.1 ;1
 4.1.0 ;1
 4.1.10 ;1
 4.1.12 ;1
 4.1.13 ;1
 4.1.2 ;1
 4.1.6 ;1
 4.1.8 ;1
 4.1.9 ;1
 4.2.0 ;1
 4.2.1 ;1
 4.2.3 ;1
 4.2.4 ;1
 4.3 ;1
 4-0-STABLE ;1
 5 - BLOCKER ;1
 5.0 ;3
 5.0.0 ;2
 5.0.0 BETA 1 ;1
 5.0.0 BETA 2 ;1
 5.0.0 BETA 3 ;1
 5.0.0 RELEASE CANDIDATE 1 ;1
 5.0.0 RELEASE CANDIDATE 2 ;1
 5.0.1 ;1
 5.0.10 ;1
 5.0.11 ;1
 5.0.12 ;1
 5.0.14 ;1
 5.0.15 ;1
 5.0.16 ;1
 5.0.2 ;1
 5.0.3 ;1
 5.0.5 ;1
 5.0.6 ;1
 5.0.7 ;1
 5.0.8 ;1
 5.0.9 ;1
 5.1.0 ;1
 5.20 COMPAT ;1
 6.0 ;1
 A FIX IS PLANNED ;1
 A LABEL ;1
 AASM4 ;2
 ACCEPT ;1
 ACCEPTED ;1
 ACTIONMAILER ;1
 ACTIONPACK ;1
 ACTIONVIEW ;1
 ACTIVEJOB ;1
 ACTIVEMODEL ;1
 ACTIVERECORD ;2
 ACTIVESUPPORT ;1
 ADDED ;1
 ADDRESS_FEEDBACK ;1
 ADMIN ;3
 AEMON ;1
 ÆSTHETICS ;1
 AFFECTS-1.4 ;1
 AGENT ;1
 AJAX ;1
 ALL SCREENS ;1
 ALLAN ;1
 ALREADY FIXED ;1
 AN UPCOMING MINOR RELEASE ;1
 ANDREW ;1
 ANIMATIONS ;1
 ANNOUNCEMENT ;1
 ANNOYANCE ;2
 API ;13
 APPKIT ;1
 APPROVAL$4 ;1
 AREA - BUILD SYSTEM ;1
 AREA - DISCOVERY ;1
 AREA - DOCUMENTATION ;1
 AREA - MESSAGING ;1
 AREA - MS ASPNET ;1
 AREA - OAUTH 1 ;1
 AREA - OAUTH2 ;1
 AREA - OPENID ;1
 AREA - REPORTING ;1
 AREA - SAMPLES ;1
 ARM ;1
 ASSET PIPELINE ;1
 ASSIGNED ;1
 ASSOCIATIONS ;1
 A-TOSH ;1
 ATTACHED PR ;1
 AUSER ;1
 AUTOCODE ;1
 AUTOESCAPE ;1
 AVONDERLUFT ;1
 AWSUM ;1
 BACKEND ;2
 BACKLOG ;2
 BACKLOG$0 ;1
 BACKPORT ;1
 BACKWARDS COMPATIBILITY ;1
 BAD SERVER ;1
 BEATLES ;1
 BEHAVIOR ;1
 BEP ;1
 BETA1 ;1
 BINARIES ;1
 BINDATA ;1
 BINDINGS ;1
 BLOAT ;1
 BLOCKED ;1
 BLOCKED BY SASS ;1
 BLOCKER ;5
 BLUE-SKY ;1
 BOOTSTRAP ;1
 BOUNTY ;1
 BOUNTY/EASY ;1
 BOUNTY/HARD ;1
 BOUNTY/MEDIUM ;1
 BOUNTY/VERY EASY ;1
 BOUNTY/VERY HARD ;1
 BREAKING-CHANGE-FOR-REEK-4 ;1
 BREAKSCOMPATIBILITY ;1
 BRIAN ;1
 BSD ;2
 BUG ;149
 BUG-DEV ;1
 BUILD ;4
 CALLBACKS ;1
 CANNOT REPRODUDE ;6
 CANNOT-REPRODUCE ;1
 CANTFIX ;1
 CATALOGING ;1
 CHANGE ;2
 CHORE ;1
 CHROME ;2
 CLA:ERROR;1
 CLA:VALID ;1
 CLASSIC FOUNDATION ;1
 CLEANUP ;1
 CLIPPED ;1
 CLOSED BUT STILL IN CONVERSATION ;1
 CODE ;7
 CODECLIMATE ;1
 CODING STANDARDS ;1
 COERCION ;1
 COLLECTION ;1
 COMMAND LINE ;1
 COMMENTS ;2
 COMMONJS ;1
 COMMUNIT ;3
 COMMUNITY SUPPORT ;1
 COMMUNITY_SUPPORT ;1
 COMPACT ;1
 COMPASS CORE ;1
 COMPAT ;1
 COMPATIBILITY ;9
 COMPILER ;1
 COMPILER ISSUES ;1
 CONDITIONS ;1
 CONFIGURATION ;2
 CONFIRM THAT IT IS FIXED ;1
 CONFIRMED ;2
 CONFIRMED-BUG ;1
 CONFLICT ;1
 CONSIDER ;1
 CONTEXT ;1
 CONTRIBUTION ;2
 CONVERT TO PR ;1
 COOKING ;1
 COPY ;1
 CORE ;2
 CORE 1.3.3 ;1
 CORE 1.4.0 ;1
 CORE 2.0 ALPHA 1 ;1
 CORE-ENGINE ;1
 CORE-NODES ;1
 COSMETIC ;1
 CRASH ;1
 CRITICAL ;3
 CSS ;4
 CURL ;1
 CURRENT WORK ;1
 DATA ;1
 DATABASE ;2
 DB2 ;1
 DDFS ;1
 DEBT ;1
 DEBUGGER ;1
 DEBUGGING ;1
 DEFECT ;5
 DEFERRED ;1
 DELAYED ;1
 DELETED ;1
 DEMO ;1
 DEPENDENCY ;1
 DEPENDENCY DEFECT ;1
 DEPLOYMENT ;1
 DEPRECATE ;1
 DEPRECATION ;1
 DERBY ;1
 DESIGN ;2
 DEV ;2
 DISCUSS ;10
 DNS ;1
 DO IT ;2
 DOC ;53
 DOM ;1
 DOM API ;1
 DONATION CAMPAIGNS ;1
 DONE ;1
 DOX ;1
 DRNIC-NOT-USING ;1
 DSL ;2
 DUCKTYPE ;1
 DUPLICATE ;12
 EASY ;5
 EC2 ;1
 ENCODING ;4
 ENCODINGS ;1
 ENGINE ;1
 ENGINES ;1
 ENHANCEMENT ;34
 ENTERPRISECUSTOMER ;1
 ENUM ;1
 ENV ;1
 ENV.JS ;1
 ENVIRON ;1
 EPOLL ;1
 ERIKKU ;1
 ERROR ;4
 ERROR APP REWRITE ;1
 ESOBCHENKO ;1
 EVENTMACHINE 1.0 ;1
 EVENTS ;1
 EXECUTOR ;1
 EXPECTED_BEHAVIOR ;1
 EXPERIMENT ;1
 EXTENSION ;2
 EXTINCT ;2
 EYCAP 0.6 ;1
 FEATURE ;121
 FEEDBACK ;7
 FIL ;1
 FILTER ;1
 FIREFOX ;1
 FIRST RELEASE ;1
 FIX ;9
 FLOATING ;1
 FONTS ;1
 FOR 4.1.3 ;1
 FOR 4.1.4 ;1
 FORGERY 2.0 ;1
 FORKING ;1
 FOUNDATION ;1
 FRIENDLYID 4.0 ;1
 FROM-LIGHTHOUSE ;2
 FRONTEND ;2
 FSYS ;1
 FUTURE ;6
 FUTURE RELEASE - REQUIRES REWORK ;1
 GATEWAY ;1
 GET READY ;1
 GH-BUG ;1
 GLORYBOX ;1
 GOAL ;1
 GOOGLE CHROME ;1
 GREENFIELD ;1
 GROUP ;1
 GROUPING ;1
 GSOC ;1
 HARDER ;1
 HEADERS ;1
 HELP ;2
 HELP WANTED ;5
 HERESTOMWITHTHEWEATHER ;1
 HEROKU ;1
 HIGH ;4
 HOLD ;3
 HOUND ;1
 HTML ;3
 HTTP ;1
 HTTPD ;1
 I18N ;7
 ICONV ;1
 IDEA ;4
 IE ;2
 IMPORTANT ;2
 IMPROVEMENT ;13
 IN MASTER ;1
 IN PROGRESS ;9
 IN TRIAGE ;1
 INCOMPLETE ;1
 INDEPENDENT USER EXPERIENCE FLOW ;1
 INDEPENDENT USER EXPERIENCE FLOW: ADDITION;1
 INDEPENDENT USER EXPERIENCE FLOW: BONUS ROUND;1
 INFRASTRUCTURE ;2
 INSTALL ;1
 INSTALLER ;1
 INSUFFICIENT INFO ;1
 INTERMITTENT ;1
 INTERNAL ;4
 INTERNATIONALIZATION ;1
 INVALID ;17
 INVESTIGATE ;5
 IPV6 ;2
 IPV6 PHASE 2 ;1
 IT TAKES ALL TYPES ;1
 IT'S NOT MY FAULT! ;1
 JARIB ;1
 JAVA ;1
 JAVASCRIPT ;2
 JGARBER ;1
 JIT ;1
 JQUERY-BOOTSTRAP ;1
 JRUBY ;4
 JS ;1
 JSON/EXT ;1
 JSON-PARITY ;1
 JUMP IN ;1
 KERNEL ;1
 KQUEUE ;1
 LANG/METEOR ;1
 LANG/NODE.JS ;1
 LANG/PYTHON ;1
