Nome;Quantidade
 - Feature Request ;2
 !high ;9
 !low ;6
 !medium ;10
 #accepted ;106
 #acknowledged ;26
 #duplicate ;25
 #fixed ;630
 #needs-confirmation ;35
 #needs-improvement ;8
 #needs-info ;24
 #needs-patch ;93
 #needs-reduction ;32
 #needs-review ;63
 #needs-unit-test ;13
 #new ;93
 #ready-to-commit ;10
 #wont-fix ;133
 #workingonit ;4
 #works-for-me ;41
 ? ;1
 @Ben Johnson ;10
 @design ;6
 @mattup ;2
 @Taylor luk ;14
 |M| 0•3 release ;11
 |M| 0•4 ;3
 |M| 0•5 ;1
 |S| new ;11
 |S| new ;2
 |S| open ;8
 |S| resolved ;14
 0 - Backlog ;4
 0.1.0 ;14
 0.3 ;49
 0.3.1 ;15
 0.3.2 ;14
 0.4 ;17
 0.4 ;3
 0.4 ;3
 0.5 ;6
 0.5 ;5
 0.9.1 ;2
 1 - Pending ;10
 1 - Ready ;2
 1 - Ready ;1
 1.0 ;23
 1.0 ;1
 1.0.pre ;1
 1.0.x ;2
 1.1 ;12
 1.1 ;10
 1.1.x ;4
 1.1.x ;2
 1.11 ;1
 1.2.2 ;2
 1.2.3 ;11
 1.2.5 ;1
 1.2.5 ;1
 1.2.x ;7
 1.3.0 ;21
 1.3.0 ;14
 1.3.0 ;9
 1.3.1 ;9
 1.3.1 (Released) ;2
 1.3.2 (Released) ;1
 1.3.3 (Released) ;1
 1.3.x ;4
 1.4 ;1
 1.4.0 ;7
 1.4.0 ;4
 1.x ;31
 2 - Feature/Enhancement ;13
 2 - Working ;2
 2 - Working ;1
 2.0 ;38
 2.0 ;8
 2.0 ;6
 2.0 ;6
 2.0 ;4
 2.0.x ;6
 2.12-release ;3
 2.13-release ;2
 2.14-release ;6
 2.2 ;8
 2.x ;28
 3 - Done ;1
 3 - Low ;19
 3.0 ;4
 3.0 ;1
 3dsecure ;4
 4 - High ;19
 4-0-stable ;1
 5 - Blocker ;5
 5.20 compat ;3
 A Fix is Planned ;3
 A label ;1
 aasm4 ;5
 accept ;1
 Accepted ;20
 actionmailer ;104
 actionpack ;827
 actionview ;423
 activejob ;78
 activemodel ;158
 activerecord ;2761
 activerecord ;1
 activesupport ;603
 Added ;6
 address_feedback ;127
 Admin ;1
 admin ;1
 Admin Upgrades ;74
 Aemon ;1
 æsthetics ;1
 affects-1.4 ;1
 agent ;1
 Ajax ;1
 All Screens ;1
 Allan ;1
 Already Fixed ;1
 Andrew ;3
 animations ;1
 announcement ;1
 annoyance ;26
 annoyance ;6
 api ;24
 api ;16
 api ;9
 API ;8
 API ;6
 API ;4
 API ;3
 API ;3
 api ;1
 API change ;5
 api change ;5
 API conflict ;3
 AppKit ;482
 Approval$4 ;1
 Area - Build System ;18
 Area - Discovery ;2
 Area - Documentation ;3
 Area - Messaging ;16
 Area - MS AspNet ;6
 Area - OAuth 1 ;12
 Area - OAuth2 ;38
 Area - OpenID ;19
 Area - Reporting ;1
 Area - Samples ;14
 ARM ;3
 asset pipeline ;161
 assigned ;2
 associations ;1
 a-tosh ;1
 attached PR ;205
 auser ;4
 autocode ;1
 autoescape ;1
 avonderluft ;1
 AWSUM ;3
 backend ;32
 backend ;6
 backlog ;4
 Backlog$0 ;2
 backport ;1
 backwards compatibility ;1
 Bad Server ;4
 beatles ;3
 behavior ;15
 BEP ;13
 beta1 ;12
 binaries ;1
 bindata ;2
 bindings ;10
 Bloat ;22
 blocked ;4
 blocked by sass ;5
 blocker ;52
 Blocker ;7
 blocker ;5
 blocker ;2
 blocker ;2
 bounty ;1
 Bounty/Easy ;46
 Bounty/Hard ;13
 Bounty/Medium ;28
 Bounty/Very easy ;8
 Bounty/Very hard ;3
 breaking-change-for-reek-4 ;3
 BreaksCompatibility ;8
 Brian ;5
 BSD ;6
 bsd ;1
 bug ;473
 bug ;169
 Bug ;168
 Bug ;130
 bug ;124
 bug ;121
 bug ;121
 bug ;106
 bug ;98
 bug ;78
 Bug ;71
 bug ;64
 bug ;59
 bug ;52
 bug ;50
 bug ;47
 bug ;45
 bug ;45
 Bug ;39
 bug ;38
 Bug ;38
 Bug ;36
 bug ;32
 Bug ;32
 bug ;31
 bug ;30
 bug ;29
 Bug ;29
 bug ;29
 bug ;27
 bug ;27
 bug ;26
 bug ;25
 bug ;24
 bug ;24
 bug ;22
 bug ;22
 Bug ;21
 bug ;20
 Bug ;20
 bug ;19
 bug ;19
 bug ;18
 Bug ;17
 bug ;17
 bug ;16
 Bug ;13
 bug ;13
 bug ;12
 bug ;12
 bug ;12
 Bug ;12
 bug ;11
 bug ;11
 bug ;11
 bug ;10
 Bug ;10
 bug ;10
 Bug ;10
 bug ;9
 bug ;9
 bug ;9
 bug ;9
 bug ;9
 bug ;9
 Bug ;9
 bug ;8
 bug ;8
 bug ;7
 bug ;7
 bug ;7
 Bug ;7
 bug ;7
 bug ;7
 bug ;6
 bug ;6
 bug ;6
 bug ;6
 bug ;6
 Bug ;6
 Bug ;5
 bug ;5
 bug ;4
 Bug ;4
 Bug ;4
 bug ;4
 Bug ;4
 bug ;4
 bug ;4
 bug ;4
 bug ;4
 bug ;4
 bug ;4
 Bug ;3
 bug ;3
 bug ;3
 bug ;3
 bug ;3
 bug ;3
 bug ;3
 bug ;3
 bug ;3
 bug ;3
 Bug ;3
 bug ;3
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 Bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 bug ;2
 Bug ;2
 Bug ;1
 bug ;1
 bug ;1
 bug ;1
 bug ;1
 bug ;1
 Bug ;1
 bug ;1
 bug ;1
 bug ;1
 bug ;1
 bug ;1
 Bug ;1
 bug ;1
 bug ;1
 bug ;1
 bug ;1
 bug ;1
 bug ;1
 Bug Report ;39
 bug!! ;47
 bug-dev ;1
 Bugfix ;29
 bugfix ;7
 bug-report ;36
 bugs ;31
 bugs ;9
 bugs ;4
 build ;51
 build ;5
 Build system ;7
 building ;9
 C API ;83
 callbacks ;13
 Cannot Reproduce ;24
 cannot reproduce ;2
 cannot reproduce ;1
 CannotReproduce ;21
 cannot-reproduce ;3
 can't reproduce ;1
 cantfix ;7
 cantreproduce ;5
 Cataloging ;1
 change ;8
 change-request ;27
 chore ;18
 Chrome ;3
 Chrome ;1
 CLA: Error;5
 CLA:Valid ;6
 classic foundation ;1
 cleanup ;6
 clipped ;2
 closed but still in conversation ;2
 code ;23
 Code ;3
 code ;1
 code ;1
 code bug ;23
 code quality / build system ;36
 codeclimate ;2
 Coding Bug ;79
 Coding Standards ;32
 Coercion ;3
 collection ;2
 command line ;13
 comments ;3
 comments ;1
 commonjs ;5
 Community ;4
 community ;4
 community_support ;4
 compact ;12
 compass core ;55
 compat ;5
 Compatibility ;34
 Compatibility ;24
 compatibility ;17
 compatibility ;14
 compatibility ;10
 compatibility ;8
 compatibility ;3
 compatibility ;2
 Compatibility  ;22
 compiler ;48
 Compiler issues ;2
 conditions ;1
 Configuration ;14
 configuration  ;5
 confirm that it is fixed ;7
 confirmed ;41
 Confirmed ;26
 confirmed ;3
 confirmed-bug ;32
 conflict ;7
 consider ;2
 context ;20
 contribution ;7
 contribution ;3
 Convert to PR ;26
 Cooking ;27
 copy ;1
 core ;41
 core ;4
 core-engine ;1
 core-nodes ;2
 Cosmetic ;12
 crash ;116
 critical ;1
 critical ;1
 Critical error ;2
 css ;2
 css ;1
 css3 ;51
 css3 ;5
 curl ;1
 current work ;7
 data ;1
 database ;4
 database inserter ;7
 db2 ;15
 ddfs ;34
 debt ;14
 debugger ;8
 debugging ;1
 defect ;90
 defect ;44
 Defect ;6
 defect ;5
 defect ;1
 deferred ;5
 Delayed ;5
 deleted ;3
 demo ;13
 dependency ;4
 dependency defect ;3
 deployment ;2
 deprecate ;1
 deprecation ;5
 derby ;5
 design ;13
 design ;11
 dev ;4
 dev ;3
 Discuss ;12
 discuss ;4
 discuss ;2
 discussion ;16
 discussion ;15
 discussion ;10
 discussion ;4
 Discussion ;4
 discussion ;2
 discussion ;2
 dns ;1
 DO IT ;11
 do it later ;1
 doc ;5
 doc ;3
 doc ;3
 doc ;3
 doc ;1
 doc ;1
 docco ;2
 docs ;576
 docs ;29
 Docs ;19
 docs ;12
 docs ;5
 docs ;4
 docs ;4
 docs ;3
 docs ;1
 docs ;1
 docs ;1
 docs ;1
 documentation ;84
 Documentation ;16
 documentation ;15
 Documentation ;15
 documentation ;15
 Documentation ;13
 Documentation ;13
 documentation ;12
 documentation ;9
 Documentation ;9
 documentation ;7
 documentation ;5
 documentation ;5
 documentation ;4
 documentation ;4
 documentation ;3
 Documentation ;3
 documentation ;2
 documentation ;2
 documentation ;2
 Documentation ;1
 Documentation ;1
 documentation ;1
 documentation ;1
 documentation ;1
 documentation ;1
 Documentation ;1
 documentation ;1
 documentation ;1
 Documentation ;1
 documentation ;1
 Documentation ;1
 documentation ;1
 documentation-request ;3
 dom ;1
 DOM API ;2
 Donation Campaigns ;2
 done ;2
 DoX ;6
 drnic-not-using ;3
 dsl ;4
 dsl change ;5
 ducktype ;1
 duplicate ;38
 Duplicate ;13
 duplicate ;6
 duplicate ;5
 Duplicate ;4
 duplicate ;3
 duplicate ;3
 duplicate ;2
 duplicate ;1
 Duplicate ;1
 duplicate ;1
 Duplicate ;1
 Easy ;8
 Easy ;6
 Easy ;4
 easy ;3
 Easy to fix ;4
 EC2 ;3
 Encoding ;31
 Encoding ;13
 encoding ;6
 Encoding ;3
 encodings ;3
 engine ;1
 engines ;41
 Enhancement ;125
 enhancement ;82
 enhancement ;51
 enhancement ;33
 enhancement ;30
 enhancement ;27
 enhancement ;27
 enhancement ;26
 enhancement ;16
 enhancement ;15
 enhancement ;12
 enhancement ;11
 enhancement ;10
 enhancement ;10
 enhancement ;9
 Enhancement ;8
 enhancement ;7
 enhancement ;6
 Enhancement ;6
 enhancement ;5
 enhancement ;4
 enhancement ;4
 enhancement ;4
 enhancement ;3
 enhancement ;3
 enhancement ;2
 enhancement ;2
 enhancement ;2
 enhancement ;1
 Enhancement ;1
 Enhancement ;1
 enhancement ;1
 enhancement ;1
 enhancements ;6
 EnterpriseCustomer ;20
 enum ;62
 ENV ;1
 env.js ;4
 environ ;1
 epoll ;2
 erikku ;18
 error handling ;1
 error-reporting ;19
 errorrrr ;10
 errors ;1
 esobchenko ;15
 Events ;31
 executor ;1
 expected_behavior ;4
 experiment ;3
 Extension ;1
 extensions ;1
 extinct ;18
 extinct ;2
 feature ;197
 Feature ;99
 feature ;76
 feature ;60
 Feature ;46
 feature ;44
 feature ;43
 feature ;30
 feature ;30
 feature ;28
 feature ;26
 feature ;25
 feature ;25
 feature ;25
 Feature ;25
 Feature ;24
 feature ;24
 feature ;24
 Feature ;20
 Feature ;20
 feature ;18
 feature ;18
 feature ;15
 feature ;14
 feature ;14
 feature ;13
 feature ;12
 feature ;12
 feature ;11
 feature ;11
 feature ;11
 feature ;11
 Feature ;11
 feature ;10
 feature ;10
 feature ;10
 feature ;10
 Feature ;8
 feature ;7
 feature ;7
 feature ;7
 feature ;6
 feature ;6
 feature ;5
 feature ;5
 feature ;5
