
markbates;genosaurus;markbates;Mark Bates;User;DEVELOPER;true;false;Sun Apr 20 21:10:40 BRT 2008


dams;params-check-faster;Azq2;?????? ???????;User;REPORTER;false;true;Fri Oct 02 12:22:19 BRT 2015
dams;params-check-faster;dams;Damien Krotkine;User;DEVELOPER;true;false;Mon Apr 21 14:53:46 BRT 2008
dams;params-check-faster;cpanservice;null;User;DEVELOPER;true;false;Tue Jan 26 12:37:40 BRST 2010

mootools;mootools-core;jarkt;Jark Tonnätt;User;REPORTER;false;true;Tue Oct 13 07:19:18 BRT 2015
mootools;mootools-core;timwienk;Tim Wienk;User;DEVELOPER;true;true;Tue Jul 20 16:47:14 BRT 2010
mootools;mootools-core;boppy;Henning Bopp;User;REPORTER;false;true;Sat Oct 03 07:12:27 BRT 2015
mootools;mootools-core;arian;Arian Stolwijk;User;DEVELOPER;true;true;Mon May 03 11:05:25 BRT 2010
mootools;mootools-core;IvanGuardado;Iván Guardado;User;REPORTER;true;true;Fri Jun 12 09:34:10 BRT 2015
mootools;mootools-core;SergioCrisostomo;Sergio Crisostomo;User;DEVELOPER;true;true;Fri Dec 21 06:51:52 BRST 2012
mootools;mootools-core;rizwanhussain-vteams;null;User;REPORTER;false;true;Thu Aug 27 02:39:48 BRT 2015
mootools;mootools-core;imbibinebe;Tin LE GALL;User;REPORTER;false;true;Wed Oct 02 09:13:48 BRT 2013
mootools;mootools-core;nbish11;Nathan;User;REPORTER;false;true;Wed Dec 31 06:04:09 BRST 2014
mootools;mootools-core;deadmann;Hassan;User;REPORTER;false;true;Sat Jul 04 10:57:50 BRT 2015
mootools;mootools-core;sebstyle;Sebastiaan;User;REPORTER;false;true;Sat Jun 27 09:42:57 BRT 2015
mootools;mootools-core;Manaus;null;User;REPORTER;false;true;Mon Jun 22 09:59:41 BRT 2015
mootools;mootools-core;kkirsche;Kevin Kirsche;User;DEVELOPER;true;true;Thu Jun 11 21:59:27 BRT 2015
mootools;mootools-core;nagaozen;Fabio Zendhi Nagao;User;DEVELOPER;true;true;Sat May 30 03:19:29 BRT 2009
mootools;mootools-core;Shoplifter;Thomas Baumgartner;User;REPORTER;false;true;Thu May 07 20:39:39 BRT 2015
mootools;mootools-core;TheShrike;null;User;REPORTER;false;true;Wed Dec 21 07:26:53 BRST 2011
mootools;mootools-core;newbie78;Rodion;User;REPORTER;false;true;Wed Aug 15 17:22:51 BRT 2012
mootools;mootools-core;Enyby;null;User;REPORTER;false;true;Thu Apr 30 14:27:58 BRT 2015
mootools;mootools-core;j3zusla;null;User;REPORTER;false;true;Wed Apr 22 14:44:47 BRT 2015
mootools;mootools-core;restlessdesign;Kevin Sweeney;User;REPORTER;false;true;Mon Jun 06 13:20:07 BRT 2011
mootools;mootools-core;22c-proxima;???????? ?????;User;REPORTER;false;true;Tue Apr 07 17:16:35 BRT 2015
mootools;mootools-core;131;François Leurent;User;REPORTER;false;true;Tue Aug 23 18:33:01 BRT 2011
mootools;mootools-core;mako-taco;Jake Scott;User;REPORTER;false;true;Fri Mar 27 21:42:32 BRT 2015
mootools;mootools-core;jdm;Josh Matthews;User;REPORTER;false;true;Fri Mar 27 10:38:55 BRT 2015
