






KirinDave;fuzed-old;open;Deleted user;Tue Jan 21 16:09:17 BRST 2014;null;627;




toretore;barby;open;Helio Cola;Thu Sep 24 11:47:47 BRT 2015;null;16;
toretore;barby;open;Alek Niemczyk;Mon Sep 21 10:53:22 BRT 2015;null;19;
toretore;barby;closed;null;Thu Jun 25 14:30:17 BRT 2015;Thu Jun 25 16:08:49 BRT 2015;0;
toretore;barby;closed;Michael Amor Righi;Sat Jun 20 05:15:29 BRT 2015;Sat Jun 20 20:00:35 BRT 2015;0;
toretore;barby;open;PiyushChandra;Fri Jun 05 06:09:57 BRT 2015;null;127;
toretore;barby;closed;PiyushChandra;Thu Jun 04 06:02:10 BRT 2015;Thu Jun 04 08:28:05 BRT 2015;0;
toretore;barby;open;Blu Ta;Wed May 06 04:27:07 BRT 2015;null;157;
toretore;barby;closed;Robert Liu;Tue Apr 21 12:21:25 BRT 2015;Tue Apr 21 12:45:32 BRT 2015;0;
toretore;barby;closed;Ma?gorzata Ksionek;Wed Apr 01 05:27:23 BRT 2015;Wed Apr 01 05:45:52 BRT 2015;0;
toretore;barby;closed;Daniel R.;Sun Mar 22 09:18:32 BRT 2015;Mon Aug 10 17:27:32 BRT 2015;141;
toretore;barby;closed;Marius Butuc;Sun Feb 08 02:07:05 BRST 2015;Sun Feb 08 14:31:42 BRST 2015;0;
toretore;barby;closed;Lewis Buckley;Wed Jan 28 10:07:25 BRST 2015;Thu Jan 29 18:29:40 BRST 2015;1;
toretore;barby;closed;null;Mon Nov 17 10:43:02 BRST 2014;Mon Nov 17 12:04:14 BRST 2014;0;
toretore;barby;closed;François Bernier;Tue Oct 14 13:44:49 BRT 2014;Tue Oct 14 21:55:02 BRT 2014;0;
toretore;barby;closed;Simon Mansfield;Thu Jul 03 12:52:13 BRT 2014;Fri Jul 18 08:45:22 BRT 2014;14;
toretore;barby;closed;James Brink;Sat May 31 03:34:59 BRT 2014;Sat May 31 18:54:48 BRT 2014;0;
toretore;barby;closed;Simon Mansfield;Wed Feb 19 10:40:20 BRT 2014;Wed Feb 19 11:08:10 BRT 2014;0;
toretore;barby;closed;Maximilian Schulz;Fri Dec 13 06:43:18 BRST 2013;Sat May 24 17:43:03 BRT 2014;162;
toretore;barby;closed;Jonas Genannt;Mon Dec 02 15:31:12 BRST 2013;Sat May 24 17:43:27 BRT 2014;173;
toretore;barby;open;Félix Bellanger;Fri Nov 29 14:43:04 BRST 2013;null;680;
toretore;barby;closed;Andy Stewart;Tue Nov 26 09:41:02 BRST 2013;Wed May 28 12:48:19 BRT 2014;183;
toretore;barby;closed;Hans de Graaff;Sun Oct 20 04:41:56 BRST 2013;Wed May 28 12:47:38 BRT 2014;220;
toretore;barby;closed;Kasper Grubbe;Tue Oct 01 06:51:27 BRT 2013;Mon May 05 13:23:56 BRT 2014;216;
toretore;barby;closed;null;Thu Aug 15 18:08:54 BRT 2013;Thu Aug 15 18:39:58 BRT 2013;0;
toretore;barby;closed;null;Wed Aug 14 16:12:17 BRT 2013;Wed Aug 14 17:16:41 BRT 2013;0;
toretore;barby;closed;Karsten Senz;Wed Jul 31 06:27:15 BRT 2013;Thu Aug 15 04:56:35 BRT 2013;14;
