
mascarenhas;luaclr;open;Andrew Pennebaker;Thu Dec 06 17:45:47 BRST 2012;null;1038;



chuyeow;facon;closed;Bitdeli Chef;Wed Nov 13 12:52:03 BRST 2013;Wed Nov 13 12:52:36 BRST 2013;0;
chuyeow;facon;closed;Ivan Acosta-Rubio;Fri Apr 12 12:34:42 BRT 2013;Mon Apr 15 06:33:10 BRT 2013;2;
chuyeow;facon;closed;Peter Jihoon Kim;Fri Nov 23 06:41:38 BRST 2012;Fri Nov 23 07:07:07 BRST 2012;0;
chuyeow;facon;closed;Yossef Mendelssohn;Thu Oct 06 03:22:51 BRT 2011;Thu Oct 06 03:38:00 BRT 2011;0;


Norgg;rubynomic;open;John Turner;Sat Nov 07 14:48:20 BRST 2009;null;2163;



lukeredpath;clickatell;open;Deleted user;Tue Jan 21 13:50:59 BRST 2014;null;627;
lukeredpath;clickatell;open;JasonM23;Fri Mar 08 10:56:00 BRT 2013;null;946;
lukeredpath;clickatell;closed;Steve Hoeksema;Tue Jun 26 18:54:53 BRT 2012;Tue Jun 26 19:07:19 BRT 2012;0;
lukeredpath;clickatell;closed;Edson de Lima;Thu Jun 16 15:04:08 BRT 2011;Thu Jun 16 18:07:17 BRT 2011;0;
lukeredpath;clickatell;open;Kyle;Thu Mar 03 22:14:37 BRT 2011;null;1682;
lukeredpath;clickatell;open;Martin Westin;Tue Jan 04 12:05:25 BRST 2011;null;1740;
lukeredpath;clickatell;closed;Martin Westin;Tue Oct 12 05:54:29 BRT 2010;Tue Oct 12 08:00:36 BRT 2010;0;
lukeredpath;clickatell;open;Calvin Correli;Fri Oct 01 06:57:07 BRT 2010;null;1835;
lukeredpath;clickatell;open;Luke Redpath;Wed Sep 15 08:37:10 BRT 2010;null;1851;
lukeredpath;clickatell;open;Jeremy Cunningham;Mon Jul 12 22:00:00 BRT 2010;null;1916;
lukeredpath;clickatell;open;R.I.Pienaar;Tue Feb 16 12:36:17 BRST 2010;null;2062;
lukeredpath;clickatell;closed;Luke Redpath;Tue Dec 15 16:05:13 BRST 2009;Mon Jul 26 17:55:20 BRT 2010;223;



ctran;annotate_models;open;Dipen Chauhan;Fri Oct 09 01:51:52 BRT 2015;null;1;
ctran;annotate_models;open;null;Mon Oct 05 14:45:39 BRT 2015;null;5;
ctran;annotate_models;closed;Eman;Wed Sep 30 05:12:45 BRT 2015;Thu Oct 01 08:19:53 BRT 2015;1;
ctran;annotate_models;open;null;Mon Sep 28 14:51:44 BRT 2015;null;12;
ctran;annotate_models;open;Manoj Mathai;Fri Sep 25 04:57:58 BRT 2015;null;15;
ctran;annotate_models;open;Grzegorz Kaczorek;Thu Sep 17 18:57:52 BRT 2015;null;23;
ctran;annotate_models;closed;rhymes;Wed Sep 09 07:11:53 BRT 2015;Thu Sep 17 08:15:05 BRT 2015;8;
ctran;annotate_models;closed;Alex Chaffee;Tue Sep 08 17:02:39 BRT 2015;Wed Sep 09 00:19:32 BRT 2015;0;
ctran;annotate_models;closed;Grachev Mikhail;Sat Sep 05 06:51:07 BRT 2015;Sat Sep 05 18:33:47 BRT 2015;0;
