
Ramarren;cl-geometry;closed;David Chkhikvadze;Sun May 31 18:48:08 BRT 2015;Fri Jun 05 06:20:09 BRT 2015;4;

tomtt;emacs-rails;closed;Friedrich Delgado;Tue May 10 09:08:27 BRT 2011;Tue Sep 20 11:24:31 BRT 2011;133;
tomtt;emacs-rails;open;lenstr;Mon Dec 14 09:21:46 BRST 2009;null;2096;
tomtt;emacs-rails;open;Rui Andrada;Sat Nov 21 05:54:27 BRST 2009;null;2120;

dfischer;rspec-haml-scaffold-generator;open;Halan Pinheiro;Tue Dec 08 09:29:00 BRST 2009;null;2102;

radar;rboard;closed;Philip Arndt;Wed Jan 05 23:36:52 BRST 2011;Wed Jan 05 23:41:32 BRST 2011;0;
radar;rboard;closed;Michael Bishop;Mon Jan 03 06:14:44 BRST 2011;Mon Jan 03 16:07:49 BRST 2011;0;
radar;rboard;closed;Stuart Coyle;Mon Dec 20 08:34:45 BRST 2010;Tue Dec 21 04:48:45 BRST 2010;0;

freels;radiant-extensions;closed;Deleted user;Tue Jan 21 16:58:32 BRST 2014;Tue Jan 21 16:59:24 BRST 2014;0;

DrMark;ultrasphinx;open;null;Thu Mar 10 14:32:28 BRT 2011;null;1645;

sudara;alonetone;open;Parminder Singh;Thu Jul 02 00:52:24 BRT 2015;null;71;
sudara;alonetone;closed;Peter Woo;Fri May 08 17:55:17 BRT 2015;Fri May 08 17:57:22 BRT 2015;0;
sudara;alonetone;closed;Sudara;Thu Mar 05 16:49:18 BRT 2015;Fri Mar 06 04:28:56 BRT 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 27 12:56:11 BRT 2015;Wed Mar 04 16:33:07 BRT 2015;5;
sudara;alonetone;open;Sudara;Fri Feb 27 12:54:44 BRT 2015;null;195;
sudara;alonetone;closed;Peter Woo;Wed Feb 25 17:38:36 BRT 2015;Wed Feb 25 17:40:28 BRT 2015;0;
sudara;alonetone;closed;Sudara;Wed Feb 25 14:14:39 BRT 2015;Thu Feb 26 02:32:34 BRT 2015;0;
sudara;alonetone;closed;Sudara;Wed Feb 25 14:14:12 BRT 2015;Thu Feb 26 02:31:27 BRT 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 19:40:56 BRST 2015;Fri Feb 20 23:23:05 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 18:56:58 BRST 2015;Fri Feb 20 23:36:21 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 18:56:54 BRST 2015;Fri Feb 20 23:36:27 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 17:04:17 BRST 2015;Fri Feb 20 23:23:05 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 16:45:48 BRST 2015;Fri Feb 20 23:25:09 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 16:43:53 BRST 2015;Fri Feb 20 23:41:44 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 16:28:04 BRST 2015;Fri Feb 20 16:29:46 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 16:28:04 BRST 2015;Fri Feb 20 23:19:31 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 16:26:24 BRST 2015;Fri Feb 20 23:41:36 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Feb 20 16:26:04 BRST 2015;Thu Feb 26 02:30:14 BRT 2015;5;
sudara;alonetone;closed;Michael Stock;Tue Feb 17 23:19:51 BRST 2015;Fri Feb 20 15:29:49 BRST 2015;2;
sudara;alonetone;closed;Michael Stock;Tue Feb 17 22:18:37 BRST 2015;Tue Feb 17 23:17:03 BRST 2015;0;
sudara;alonetone;open;Sudara;Mon Feb 16 16:00:18 BRST 2015;null;206;
sudara;alonetone;open;Sudara;Sat Feb 14 16:57:38 BRST 2015;null;208;
sudara;alonetone;closed;Sudara;Fri Feb 13 22:28:35 BRST 2015;Tue Feb 24 19:03:44 BRT 2015;10;
sudara;alonetone;closed;Sudara;Fri Feb 13 18:34:43 BRST 2015;Fri Feb 13 21:54:20 BRST 2015;0;
sudara;alonetone;closed;Michael Stock;Tue Feb 10 03:13:13 BRST 2015;Tue Feb 17 22:18:10 BRST 2015;7;
sudara;alonetone;closed;Sudara;Thu Feb 05 17:14:54 BRST 2015;Thu Feb 05 17:15:02 BRST 2015;0;
sudara;alonetone;open;Sudara;Wed Feb 04 16:38:45 BRST 2015;null;218;
sudara;alonetone;closed;Peter Woo;Mon Jan 26 21:49:31 BRST 2015;Mon Jan 26 22:35:52 BRST 2015;0;
sudara;alonetone;closed;Peter Woo;Mon Jan 26 21:48:11 BRST 2015;Thu Feb 05 01:40:04 BRST 2015;9;
sudara;alonetone;open;Peter Woo;Mon Jan 26 21:48:01 BRST 2015;null;227;
sudara;alonetone;open;Peter Woo;Mon Jan 26 21:40:40 BRST 2015;null;227;
sudara;alonetone;closed;Sudara;Mon Jan 26 00:33:03 BRST 2015;Mon Jan 26 00:33:32 BRST 2015;0;
sudara;alonetone;closed;Sudara;Sat Jan 24 01:21:28 BRST 2015;Sat Jan 24 02:45:52 BRST 2015;0;
sudara;alonetone;closed;Sudara;Sat Jan 24 00:59:48 BRST 2015;Sat Jan 24 06:10:16 BRST 2015;0;
sudara;alonetone;closed;Peter Woo;Sat Jan 24 00:05:09 BRST 2015;Sat Jan 24 00:05:21 BRST 2015;0;
sudara;alonetone;open;Sudara;Fri Jan 23 23:07:35 BRST 2015;null;230;
sudara;alonetone;closed;Sudara;Fri Jan 23 22:48:03 BRST 2015;Fri Jan 23 22:48:09 BRST 2015;0;
sudara;alonetone;closed;Sudara;Fri Jan 23 22:01:35 BRST 2015;Sat Jan 24 05:19:44 BRST 2015;0;
sudara;alonetone;closed;Sudara;Tue Nov 25 02:11:14 BRST 2014;Wed Jan 21 01:17:02 BRST 2015;56;
sudara;alonetone;open;Shai Rosenfeld;Sat Aug 30 12:58:14 BRT 2014;null;376;
sudara;alonetone;closed;Devin;Thu Feb 20 21:09:14 BRT 2014;Thu Feb 20 21:11:58 BRT 2014;0;
sudara;alonetone;open;Aaron Dufall;Mon Feb 17 19:00:33 BRT 2014;null;570;
sudara;alonetone;open;Sudara;Thu Jan 23 14:04:11 BRST 2014;null;595;
sudara;alonetone;closed;Sudara;Mon Dec 23 03:27:45 BRST 2013;Wed Jan 21 01:44:21 BRST 2015;393;
sudara;alonetone;open;Sudara;Sun Dec 15 04:24:31 BRST 2013;null;635;
