




ascarter;workling;open;Bruno Casali;Fri Dec 19 14:59:17 BRST 2014;null;296;





mabj;tcc;open;Marcos Álvares;Tue Aug 16 10:22:07 BRT 2011;null;1518;




jmettraux;ruote;closed;daniely;Fri Jul 24 18:13:46 BRT 2015;Fri Jul 24 18:42:05 BRT 2015;0;
jmettraux;ruote;closed;Richard Matthews;Mon Aug 18 13:12:22 BRT 2014;Mon Aug 18 13:21:08 BRT 2014;0;
jmettraux;ruote;open;John Mettraux;Fri Feb 28 20:27:46 BRT 2014;null;590;
jmettraux;ruote;closed;null;Wed Jan 22 19:32:30 BRST 2014;Thu Jan 23 19:46:25 BRST 2014;1;
jmettraux;ruote;closed;Benjamin Fleischer;Tue Nov 26 01:01:20 BRST 2013;Tue Nov 26 02:48:03 BRST 2013;0;
jmettraux;ruote;closed;John Mettraux;Mon Oct 28 19:19:54 BRST 2013;Mon Oct 28 20:05:26 BRST 2013;0;
jmettraux;ruote;closed;Bluewater, Inc.;Thu Aug 08 09:52:56 BRT 2013;Fri Aug 09 08:19:33 BRT 2013;0;
jmettraux;ruote;closed;John Mettraux;Thu Aug 01 19:04:04 BRT 2013;Mon Aug 05 17:51:02 BRT 2013;3;
jmettraux;ruote;closed;Josef Pospíšil;Fri Jul 12 08:18:35 BRT 2013;Fri Jul 12 08:32:24 BRT 2013;0;
jmettraux;ruote;closed;Adrien Kohlbecker;Mon Jun 24 09:18:03 BRT 2013;Mon Jun 24 09:38:45 BRT 2013;0;
jmettraux;ruote;closed;Adrien Kohlbecker;Mon Jun 24 06:07:33 BRT 2013;Mon Jun 24 07:19:00 BRT 2013;0;
jmettraux;ruote;open;John Mettraux;Sun Jun 16 17:50:17 BRT 2013;null;847;
jmettraux;ruote;closed;Chiradeep Vittal;Thu Jun 13 21:40:48 BRT 2013;Thu Jun 13 22:02:22 BRT 2013;0;
jmettraux;ruote;closed;John Mettraux;Thu May 23 20:55:22 BRT 2013;Fri May 24 19:14:21 BRT 2013;0;
jmettraux;ruote;closed;Chiradeep Vittal;Thu May 23 19:55:04 BRT 2013;Thu May 23 20:48:45 BRT 2013;0;
jmettraux;ruote;closed;John Mettraux;Thu May 23 17:48:48 BRT 2013;Thu May 23 18:46:05 BRT 2013;0;
jmettraux;ruote;closed;Alan Sharp-Paul;Thu May 02 15:12:30 BRT 2013;Thu May 02 18:21:18 BRT 2013;0;
jmettraux;ruote;closed;Adrien Kohlbecker;Wed May 01 14:42:22 BRT 2013;Thu May 02 19:44:33 BRT 2013;1;
jmettraux;ruote;closed;Mark Wotton;Thu Mar 21 16:25:47 BRT 2013;Thu Mar 21 19:29:17 BRT 2013;0;
jmettraux;ruote;closed;Morshed Alam;Sun Feb 17 01:17:24 BRT 2013;Sun Feb 17 03:05:38 BRT 2013;0;
jmettraux;ruote;closed;Chris Doherty;Thu Jan 24 20:14:32 BRST 2013;Thu Jan 24 20:35:32 BRST 2013;0;
jmettraux;ruote;closed;John Mettraux;Sat Jan 19 08:50:33 BRST 2013;Sun Jan 27 04:38:19 BRST 2013;7;
