








joshuamiller;flotilla;open;Aldric Giacomoni;Fri Sep 03 12:06:12 BRT 2010;null;1867;




jrray;gotefarm;open;null;Sat May 16 04:18:30 BRT 2009;null;2343;









TekNoLogic;controlfreak;closed;null;Sun Dec 19 13:49:16 BRST 2010;Sun Dec 19 17:13:33 BRST 2010;0;
TekNoLogic;controlfreak;closed;null;Fri Dec 17 23:34:48 BRST 2010;Sat Dec 18 07:37:42 BRST 2010;0;
TekNoLogic;controlfreak;closed;null;Fri Apr 24 15:21:29 BRT 2009;Sat May 23 12:48:10 BRT 2009;28;














jmhodges;rchardet;open;Bráulio Bhavamitra;Mon Aug 24 21:08:45 BRT 2015;null;51;
jmhodges;rchardet;closed;KITAITI Makoto;Sun Jun 14 07:19:10 BRT 2015;Sun Jun 14 15:51:45 BRT 2015;0;
jmhodges;rchardet;closed;KITAITI Makoto;Sun Jun 14 06:52:30 BRT 2015;Mon Jun 15 18:38:58 BRT 2015;1;
jmhodges;rchardet;open;Shivam Daryanani;Thu Feb 19 01:33:47 BRST 2015;null;238;
jmhodges;rchardet;closed;null;Fri Jan 23 03:55:14 BRST 2015;Sat Jan 24 03:29:39 BRST 2015;0;
jmhodges;rchardet;closed;Cole Thompson;Tue Jan 20 23:21:14 BRST 2015;Wed Jan 21 04:50:22 BRST 2015;0;
jmhodges;rchardet;closed;Cole Thompson;Tue Jan 20 21:24:08 BRST 2015;Wed Jan 21 04:51:09 BRST 2015;0;
jmhodges;rchardet;closed;wvengen;Wed Jan 14 19:49:22 BRST 2015;Sat Jan 17 02:43:08 BRST 2015;2;
jmhodges;rchardet;closed;Cole Thompson;Wed Nov 26 18:43:34 BRST 2014;Wed Nov 26 19:00:34 BRST 2014;0;
jmhodges;rchardet;open;Cole Thompson;Tue Nov 25 22:05:32 BRST 2014;null;323;
jmhodges;rchardet;closed;Cole Thompson;Tue Nov 25 20:53:24 BRST 2014;Wed Dec 03 20:09:04 BRST 2014;7;
jmhodges;rchardet;closed;Rodrigo Serrano;Sun Nov 23 18:35:04 BRST 2014;Wed Nov 26 19:02:51 BRST 2014;3;
jmhodges;rchardet;open;Stanislav;Thu Oct 09 05:33:08 BRT 2014;null;371;
jmhodges;rchardet;closed;null;Wed Aug 13 11:38:23 BRT 2014;Wed Aug 27 18:55:43 BRT 2014;14;
jmhodges;rchardet;closed;Michael Grosser;Wed Jul 30 14:42:58 BRT 2014;Wed Aug 27 17:53:23 BRT 2014;28;
jmhodges;rchardet;closed;Michael Grosser;Wed Jul 30 14:09:27 BRT 2014;Wed Aug 27 17:52:55 BRT 2014;28;
jmhodges;rchardet;closed;Denis Savitskiy;Mon May 19 06:01:08 BRT 2014;Wed Aug 27 17:59:04 BRT 2014;100;
jmhodges;rchardet;closed;Greg Dowling;Fri May 02 06:55:24 BRT 2014;Thu Aug 28 19:37:05 BRT 2014;118;
jmhodges;rchardet;closed;Sam Rose;Wed Mar 26 06:55:04 BRT 2014;Wed Aug 27 19:21:34 BRT 2014;154;
jmhodges;rchardet;closed;Maxim Filippovich;Tue Sep 17 04:38:46 BRT 2013;Wed Aug 27 19:23:09 BRT 2014;344;
