
bendiken;bitcache;closed;Wayne Scott;Tue Jan 27 14:07:40 BRST 2015;Thu Feb 05 21:01:45 BRST 2015;9;




ruby-rdf;sparql-client;closed;Gregg Kellogg;Mon Sep 14 11:18:23 BRT 2015;Mon Sep 14 11:18:32 BRT 2015;0;
ruby-rdf;sparql-client;closed;Christoph Kindl;Wed Aug 26 19:14:44 BRT 2015;Thu Aug 27 20:15:35 BRT 2015;1;
ruby-rdf;sparql-client;open;Christoph Kindl;Mon Aug 24 13:15:50 BRT 2015;null;63;
ruby-rdf;sparql-client;open;Thomas Johnson;Fri Aug 14 01:10:51 BRT 2015;null;74;
ruby-rdf;sparql-client;closed;Gregg Kellogg;Fri Mar 06 15:46:55 BRT 2015;Mon May 04 22:00:02 BRT 2015;59;
ruby-rdf;sparql-client;closed;Justin Coyne;Wed Mar 04 00:21:49 BRT 2015;Wed Mar 04 02:03:19 BRT 2015;0;
ruby-rdf;sparql-client;closed;Darren L. Weber, Ph.D.;Mon Jan 26 17:32:27 BRST 2015;Mon May 04 22:00:53 BRT 2015;98;
ruby-rdf;sparql-client;closed;Aleksander Pohl;Tue Dec 02 19:30:58 BRST 2014;Wed Mar 04 18:23:29 BRT 2015;91;
ruby-rdf;sparql-client;closed;Marcel Otto;Fri Oct 24 17:42:45 BRST 2014;Fri Oct 24 18:17:05 BRST 2014;0;
ruby-rdf;sparql-client;closed;Nick Gottlieb;Fri Oct 03 14:51:50 BRT 2014;Fri Oct 03 16:00:30 BRT 2014;0;
ruby-rdf;sparql-client;closed;Thomas Johnson;Fri Sep 26 18:28:35 BRT 2014;Mon Sep 29 21:13:45 BRT 2014;3;
ruby-rdf;sparql-client;closed;Rochben;Tue Jul 29 10:29:48 BRT 2014;Mon Aug 25 15:53:53 BRT 2014;27;
ruby-rdf;sparql-client;closed;Ben Peters;Thu Jul 24 19:36:48 BRT 2014;Fri Jul 25 18:01:38 BRT 2014;0;
ruby-rdf;sparql-client;closed;Ben Peters;Thu Jul 24 18:59:13 BRT 2014;Fri Jul 25 18:01:38 BRT 2014;0;
ruby-rdf;sparql-client;closed;Ranielli Soares;Thu Jun 05 00:57:28 BRT 2014;Thu Jun 05 01:00:20 BRT 2014;0;
ruby-rdf;sparql-client;closed;Ranielli Soares;Fri Apr 25 17:23:10 BRT 2014;Fri Apr 25 17:35:49 BRT 2014;0;
ruby-rdf;sparql-client;closed;Ranielli Soares;Thu Apr 17 00:35:54 BRT 2014;Thu May 08 20:17:25 BRT 2014;21;
ruby-rdf;sparql-client;closed;Peter Amstutz;Wed Apr 09 15:46:13 BRT 2014;Mon Jun 30 18:43:51 BRT 2014;82;
ruby-rdf;sparql-client;closed;Danny Tran;Fri Apr 04 12:29:49 BRT 2014;Fri Apr 04 14:25:33 BRT 2014;0;
ruby-rdf;sparql-client;closed;Danny Tran;Wed Apr 02 04:09:13 BRT 2014;Fri Apr 04 18:05:06 BRT 2014;2;
ruby-rdf;sparql-client;closed;Danny Tran;Sun Mar 30 19:12:36 BRT 2014;Sun Mar 30 19:40:24 BRT 2014;0;
